target_dcn,atom=H,atom=He,atom=Li,atom=Be,atom=B,atom=C,atom=N,atom=O,atom=F,atom=Ne,atom=Na,atom=Mg,atom=Al,atom=Si,atom=P,atom=S,atom=Cl,atom=Ar,atom=Br,atom=I,atom=other,degree=0,degree=1,degree=2,degree=3,degree=4,degree=5,degree=other,formal_charge,total_H,hybrid=S,hybrid=SP,hybrid=SP2,hybrid=SP3,hybrid=SP3D,hybrid=SP3D2,hybrid=other,is_aromatic,atomic_mass,lone_pairs,HBD=0,HBD=1,HBD=2,HBD=3,HBD=other,HBA=0,HBA=1,HBA=2,HBA=3,HBA=other,ring_size,electronegativity,bond=NONE,bond=SINGLE,bond=DOUBLE,bond=TRIPLE,bond=AROMATIC,bond=other,is_conjugated,stereo=0,stereo=1,stereo=2,stereo=3,stereo=4,stereo=5,stereo=other,in_ring
31.2,0.0,0.0,0.0,0.0,0.0,-1.2179052762024547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10426909766900927,1.1713265686915513,0.0,0.0,0.0,-8.028361070786886,0.0,0.0,-1.6517932893719394,5.28505806013399,0.0,0.0,0.0,-1.0568514720369002,0.4656289025336928,0.0,9.655567460461215,0.0,0.0,0.0,0.0,-1.4384420220871306,0.0,0.0,0.0,0.0,-2.919745800887064,0.21704984181305598,0.0,5.459895089881979,0.0,0.0,1.1230757579653794,0.0,-0.7513642864677266,3.59328499480268,0.0,0.0,0.0,0.0,0.0,0.0,-2.548543694044243
28.0,0.0,0.0,0.0,0.0,0.0,0.5753268935021509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0247693792280606,0.5954636594496279,0.0,0.0,0.0,-4.240823476776258,0.0,0.0,-0.9139430394813299,2.0166308891445777,0.0,0.0,0.0,-0.6549834910497818,0.3063946615350801,0.0,10.913523693200458,0.0,0.0,0.0,0.0,-1.003918200968048,0.0,0.0,0.0,0.0,-0.5745282262043379,-0.5359459703742147,0.0,2.3655992476885075,0.0,0.0,0.8300610535347417,0.0,-1.9881604436165006,2.4680935657645096,0.0,0.0,0.0,0.0,0.0,0.0,-2.4819387803558985
25.1,0.0,0.0,0.0,0.0,0.0,-1.6426289694320744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0540635254580657,0.7546673935054855,0.0,0.0,0.0,-4.097534059373368,0.0,0.0,-1.688928874044617,1.459984037047155,0.0,0.0,0.0,-0.7055249354016002,0.16433922850717408,0.0,10.629744781137422,0.0,0.0,0.0,0.0,-1.4812370034456581,0.0,0.0,0.0,0.0,-0.5104899198086219,-0.4062771870211357,0.0,2.032286976630303,0.0,0.0,1.2518771758877545,0.0,-0.05565488178566014,1.801003106922769,0.0,0.0,0.0,0.0,0.0,0.0,-2.174425171543211
21.7,0.0,0.0,0.0,0.0,0.0,1.1174837684039218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5171424041779638,0.7527001437736729,0.0,0.0,0.0,-5.407094840757565,0.0,0.0,-3.1137065326027056,3.2649130183980706,0.0,0.0,0.0,-0.24689205253761592,0.29662875223780016,0.0,8.197753526289162,0.0,0.0,0.0,0.0,-0.7789795830763397,0.0,0.0,0.0,0.0,-0.052782580162404,-0.022420690449188818,0.0,1.4064163314420028,0.0,0.0,1.105064596302328,0.0,-0.5507924581923156,0.5590334873122096,0.0,0.0,0.0,0.0,0.0,0.0,-3.545038568698444
18.1,0.0,0.0,0.0,0.0,0.0,-0.7707877221523152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28324356929577643,0.5138916241866447,0.0,0.0,0.0,-1.9698387326068296,0.0,0.0,-1.272936085855103,1.3299093276613672,0.0,0.0,0.0,-1.273238229912371,0.15067354650137155,0.0,7.38840272802335,0.0,0.0,0.0,0.0,0.2324850432389578,0.0,0.0,0.0,0.0,-1.610246417944106,0.2616285299509933,0.0,1.5444850753011732,0.0,0.0,0.7434216313856101,0.0,-2.3315729059002983,-0.6221966410238569,0.0,0.0,0.0,0.0,0.0,0.0,-1.227155516877894
13.4,0.0,0.0,0.0,0.0,0.0,-1.6293516063005722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35982329531024426,-2.579515399860494,0.0,0.0,0.0,-6.551493554262828,0.0,0.0,-0.42061567673063216,4.251946256602864,0.0,0.0,0.0,-0.31778849820907773,0.24916980354657703,0.0,8.4763312947455,0.0,0.0,0.0,0.0,-3.3848255612834457,0.0,0.0,0.0,0.0,-3.371076877045315,0.798410634337638,0.0,1.1742290236036403,0.0,0.0,0.13692853614379885,0.0,-0.11953914614649896,-3.912705592131349,0.0,0.0,0.0,0.0,0.0,0.0,0.2529589958838585
11.0,0.0,0.0,0.0,0.0,0.0,1.8978300419146255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5565844343834927,-3.4340635883512842,0.0,0.0,0.0,-8.031914310720527,0.0,0.0,-1.278269262548669,3.075486802945246,0.0,0.0,0.0,-0.5399474374699711,0.566427724732522,0.0,7.557239823259633,0.0,0.0,0.0,0.0,-4.556091047418816,0.0,0.0,0.0,0.0,-2.8192103890571225,0.4787673689453982,0.0,3.128329593546394,0.0,0.0,-0.10329781978860275,0.0,-0.6863485699012539,-1.7202284960185663,0.0,0.0,0.0,0.0,0.0,0.0,-0.6757506536984863
9.7,0.0,0.0,0.0,0.0,0.0,2.5204096248997443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1925869515218315,-0.02880377293415215,0.0,0.0,0.0,-6.563615354918344,0.0,0.0,-0.7762171545164804,2.878177634686132,0.0,0.0,0.0,-1.0794923000356675,0.4167273239536371,0.0,9.369273416635755,0.0,0.0,0.0,0.0,-4.737683313451619,0.0,0.0,0.0,0.0,-5.338824498642558,-0.4190866282439041,0.0,0.050937097253100916,0.0,0.0,0.24218857897156365,0.0,-0.711535321588463,-1.6212411063799905,0.0,0.0,0.0,0.0,0.0,0.0,-2.917668375940936
8.7,0.0,0.0,0.0,0.0,0.0,1.3293119958851563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.255602747801122,0.016113798066624163,0.0,0.0,0.0,-3.3903038940278867,0.0,0.0,-2.643112346160555,-0.1961271263748534,0.0,0.0,0.0,-1.4763379008902309,-0.18733137562614566,0.0,10.912078340519768,0.0,0.0,0.0,0.0,-2.4392983629293035,0.0,0.0,0.0,0.0,-6.615515819191288,-0.12815135394280386,0.0,-0.8037712449617169,0.0,0.0,-0.6469278727243672,0.0,-0.5551272801624112,-2.2888944449255,0.0,0.0,0.0,0.0,0.0,0.0,-1.6377061342949553
7.8,0.0,0.0,0.0,0.0,0.0,0.4414048139920137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5333398087787629,0.10538760545436432,0.0,0.0,0.0,-4.278497906420089,0.0,0.0,-1.0213057231232732,2.7367507854539053,0.0,0.0,0.0,-1.0534004140522155,0.012542229932593685,0.0,5.269234663440981,0.0,0.0,0.0,0.0,-5.432802390765264,0.0,0.0,0.0,0.0,-5.821625912047013,0.2760564013975628,0.0,0.03041528115495762,0.0,0.0,0.5495446847478771,0.0,-2.2681580467345483,0.9832962355726229,0.0,0.0,0.0,0.0,0.0,0.0,-1.9408052631665855
7.5,0.0,0.0,0.0,0.0,0.0,-1.5472774168025438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9174040512788544,-3.56501832603833,0.0,0.0,0.0,-2.027130771106532,0.0,0.0,-1.6295012808811826,0.3202429903411117,0.0,0.0,0.0,-1.1638559145556453,0.21666968101371165,0.0,6.49496551124237,0.0,0.0,0.0,0.0,-2.075058280343667,0.0,0.0,0.0,0.0,-12.635005428848368,0.03428347222482131,0.0,5.018729490150176,0.0,0.0,0.6827811014059018,0.0,-0.16492166561622756,-0.68395894064549,0.0,0.0,0.0,0.0,0.0,0.0,0.8377882612736727
7.5,0.0,0.0,0.0,0.0,0.0,-0.3582128583518074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8453625257083601,-1.8229149546141823,0.0,0.0,0.0,-1.414274205721573,0.0,0.0,-3.828097098021331,0.7043471785668105,0.0,0.0,0.0,-1.0407906121856332,-0.11908745798288134,0.0,7.556749569650767,0.0,0.0,0.0,0.0,-3.2417770474391148,0.0,0.0,0.0,0.0,-6.954918999657695,0.3452999853739849,0.0,-0.7603721402982497,0.0,0.0,1.1326814105326326,0.0,-0.7673091684335152,-0.39467678898795455,0.0,0.0,0.0,0.0,0.0,0.0,-1.7179636825628224
