SMILES,EX_Boiling Point,bp_predicted
CC(=O)OCCOC,142.0,121.49000000000001
CC(=C)CCC=C,88.0,79.84999999999997
CCC(=C)C,31.1,37.410000000000025
CCCCCCC(=C)C,144.0,128.93
CC(CC(C)(C)O)O,197.9,244.41999999999996
CCCC=C(C)C,95.0,90.64999999999998
CCC(CC)C(C)C,115.6,108.61000000000001
CCC=CC(C)C,88.0,90.33000000000004
CC1=CC=CC=C1C(=O)O,259.5,286.65999999999997
CCCCCCCCC(C)C,189.2,177.69000000000005
CCCCC(C)C(=O)O,214.0,231.68000000000006
CCCCCCC(C)C(=O)O,138.0,277.44000000000005
CCCC(C)C(=O)O,195.0,208.80000000000007
CC(C)C,-11.7,17.53000000000003
CC(=C)C,-7.0,14.529999999999973
CCCCCCCCCC(C)C,211.0,200.57000000000005
CCCCCCCC(=O)C,194.0,186.24
CCCCCCC(=O)C,173.0,163.36
C=CC(=O)O,142.0,137.28000000000003
C=CCO,96.9,83.94999999999999
CCCCCC(=O)OCC=C,186.0,187.26999999999998
CCCCCCCCCC(=O)C,233.1,232.0
CCC(C)O,99.4,109.71000000000004
CCC(=O)C,79.6,71.84000000000003
CC=CCO,123.0,114.31
CCCCOCCO,171.0,178.32999999999998
C1CCC(C1)CC(=O)O,228.0,247.39999999999998
CCCCCCCCC(=O)C,211.0,209.12
CCOCCO,134.7,132.57
CCOCCOCCOCC,185.0,176.75
CCC1CCCO1,107.0,105.96000000000004
CCC1=C(C=CC=C1C)C,190.0,191.89
CCC1=C(C=CC(=C1)C)C,186.0,191.89
CCC(CC)CO,155.0,155.47000000000003
CCC(=C)CC,64.7,60.29000000000002
CCCCC(CC)CO,186.2,201.23000000000002
CCCC(=C)CC,94.0,83.17000000000002
CCC(CC)C(=O)O,193.0,208.80000000000007
CCC1=CC=CO1,92.0,113.92999999999995
CCCCC(CC)C(=O)O,227.5,254.56000000000006
CCC1=CC2=CC=CC=C2C=C1,259.0,251.64999999999998
C1=COC(=C1)CO,168.0,183.23000000000002
CCCCCC(C)O,159.0,178.35000000000002
CCCCC(=O)C,127.6,117.60000000000002
CC(C)OCCO,141.6,155.01000000000005
COCCO,124.3,109.69
CC1CCCO1,80.0,83.08000000000004
CC(=C)C=C,34.0,34.089999999999975
CCC(C)CO,129.0,132.59000000000003
CCCCCC(=C)C,119.0,106.05000000000001
