SMILES,EX_Boiling Point,Tc,Pc,rhoc,omega,Tb,Tm,dHvap,dHfus
CC1=CC(=C(C=C1)C)C,169.4,648.9931188411405,32.065617470566366,2.3083528060980116,0.3724306354548791,444.8149260424971,237.9286845985509,39.582244992689105,12.543331497811236
CCCCOCCOCCCC,198.0,640.3618182119186,21.16935874188926,1.5018436254271168,0.6187695709726799,475.0645332387842,203.56786777323254,45.3075960845823,17.16419778757098
CC1CCCC1C,99.5,561.8882564639299,33.74662582578889,2.7020486038069556,0.2511877199530441,370.7985488769976,158.76269251918248,31.24760814093026,6.290926818289788
CCOCCOCC,120.6,552.2373494448112,30.663845475937435,2.412762828949567,0.4632514331441586,389.31029042282387,200.33574837931792,35.99046504200327,15.115834108397125
CCC1=CC=CC=C1CC,183.4,664.6552725306084,28.70299870640296,2.035978446275328,0.37090071877860353,460.0299572005339,220.8746669182426,40.32071105641378,12.99886687643017
COC1=CC=CC=C1OC,206.0,679.0227121473368,35.31541732870852,2.362373278820289,0.44432367525287,462.9650547549318,264.7721149988153,43.399185050419646,13.907643061644325
COCCOC,85.0,528.5807339541693,38.71993831074148,3.4100769238988606,0.3502142448722474,355.37127357155146,191.2698116406205,31.919960442944724,11.62727617150787
CC1=CC=CC=C1C,144.4,628.2786754160319,36.991322025331606,2.6881020363250188,0.3148390929432184,418.8051192198389,244.4395830306739,37.096451041832886,11.470477036779567
CC1=C(C2=CC=CC=C2C=C1)C,267.0,786.411981615694,30.35905035752947,1.8863015209990026,0.40565704465975855,538.8992938413554,299.7131912502749,48.947706067366134,14.626388428502889
CCC1CO1,63.4,515.2604645214096,45.048310642806875,4.269475300465183,0.29682260489627055,335.47588332079454,148.85853032125144,29.758478144508114,7.803856768051754
C(CO)O,197.5,732.3847357709722,80.91652224819207,5.315064365472107,0.5060316953345221,473.73883421333517,259.763036383813,52.974120448432,11.5504903261086
CC(CO)O,187.3,652.3233104522863,59.39841382591483,4.173413981534113,1.0908753715389359,459.2603468421824,300.4460071193497,54.453956856022394,7.977899906957598
CC1CCCCC1C,129.7,601.554049253092,30.978448772523404,2.3144097179636693,0.2564475044736638,401.4412643349559,178.81365796454511,33.77966676482704,7.044650943947329
CCC1=CC(=CC(=C1)CC)CC,215.8,681.6757532502552,22.79632878191414,1.6051800015224007,0.46768175364725034,486.5974847624916,205.57582701708344,43.469873558543625,14.359328811276654
CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,249.0,699.7520591497154,18.6380136573238,1.258686149080881,0.538501833632988,513.8056146988083,260.3352984741108,45.89485733508988,18.446188325840353
CC1=CC(=CC(=C1)C)C,164.7,645.3707404747906,31.315770041120203,2.2515024634908296,0.37264209227540745,442.7445099780787,218.98065804286813,39.25817663405827,11.177023639054424
CC1CC(CC(C1)C)C,141.0,604.2526400531859,27.031702341043747,2.0794895158375692,0.3093648617705396,415.0578846814119,179.91269587787264,34.56638421137762,10.616286362499018
CCC1=CC(=CC(=C1)C)C,184.0,657.9831835270609,28.022666494579198,2.00310566427467,0.3976568527400753,458.1642466686491,201.22531294465654,40.46678640760911,11.73019515014292
CC1CCC(C1)C,91.7,547.9854430026547,32.859510051235475,2.710379795931092,0.26110472852114536,361.7472739900407,131.80904218612312,30.425812577528923,7.097298524151746
C1CC=CC=C1,80.3,551.6319776168812,43.848383235926,3.5177741609265287,0.21111346647691684,346.48879686108853,164.6670775652426,29.888659922759654,4.380627850851994
CCC1=CC(=CC=C1)CC,181.1,654.2756093051629,28.06068780523524,2.0026210804513225,0.3771974488651319,453.1698213179587,190.04230556544837,39.760899400199065,11.580191738899032
