SMILES,EX_Boiling Point,bp_predicted_gcn,bp_predicted_mpnn
CC=CC,3.72,14.540999999999997,0.4770000000000323
CCCCOCCOC(=O)C,191.1,174.98700000000002,175.166
CCCCCCC(CCCC)CO,248.0,247.03100000000006,248.77600000000007
CC#CC,27.1,34.06600000000003,-12.394000000000005
CCC(C)(C)OCC,101.5,104.245,92.06200000000001
CCOCCOC(=O)C,156.6,140.43400000000003,138.79000000000002
CCOC(C)C,54.0,63.50800000000004,44.584
CCCC(C(CC)CO)O,243.0,234.382,180.35400000000004
CCC(=C)C(C)C,86.3,86.96900000000005,78.34500000000003
CCC(CC)C=O,118.0,114.94100000000003,95.87400000000002
CCCCCC(=O)C,151.0,139.358,141.365
CCCCC=CC,97.0,88.58300000000003,87.56
CCCCC#CC,113.6,100.79600000000005,73.815
CC(COC(=O)C(=C)C)O,90.0,202.084,192.41200000000003
CC(COC(=O)C=C)O,70.0,181.654,173.45300000000003
COC1=CC=CC=C1C=O,243.0,205.09300000000002,206.59700000000004
CC(=O)OCCOC,142.0,123.632,123.887
CC(=C)CCC=C,88.0,87.35200000000003,82.33600000000001
CCC(=C)C,31.1,35.226,26.646000000000015
CCCCCCC(=C)C,144.0,122.36600000000004,128.04500000000002
CC(CC(C)(C)O)O,197.9,189.62800000000004,180.827
CCCC=C(C)C,95.0,95.48700000000002,93.45700000000005
CCC(CC)C(C)C,115.6,113.45300000000003,104.91500000000002
CCC=CC(C)C,88.0,84.76300000000003,84.09200000000004
CC1=CC=CC=C1C(=O)O,259.5,256.654,255.09199999999998
CCCCCCCCC(C)C,189.2,160.26300000000003,168.59000000000003
CCCCC(C)C(=O)O,214.0,206.166,195.79900000000004
CCCCCCC(C)C(=O)O,138.0,238.94600000000003,238.33800000000002
CCCC(C)C(=O)O,195.0,189.45600000000002,175.231
CC(C)C,-11.7,-4.852999999999952,-9.813999999999965
CC(=C)C,-7.0,6.224000000000046,-20.428999999999974
CCCCCCCCCC(C)C,211.0,176.31900000000002,187.46200000000005
CCCCCCCC(=O)C,194.0,171.437,179.10900000000004
CCCCCCC(=O)C,173.0,155.375,160.23700000000002
C=CC(=O)O,142.0,129.639,140.35400000000004
C=CCO,96.9,93.80100000000004,84.96700000000004
CCCCCC(=O)OCC=C,186.0,169.90700000000004,163.538
CCCCCCCCCC(=O)C,233.1,203.55,216.85400000000004
CCC(C)O,99.4,106.62400000000002,88.24600000000004
CCC(=O)C,79.6,75.71200000000005,68.33500000000004
CC=CCO,123.0,118.26100000000002,111.17400000000004
CCCCOCCO,171.0,173.21000000000004,164.103
C1CCC(C1)CC(=O)O,228.0,213.848,213.776
CCCCCCCCC(=O)C,211.0,187.49400000000003,197.98200000000003
CCOCCO,134.7,138.46900000000005,127.72700000000003
CCOCCOCCOCC,185.0,170.262,158.49400000000003
CCC1CCCO1,107.0,98.11000000000001,94.67700000000002
CCC1=C(C=CC=C1C)C,190.0,185.75400000000002,178.139
CCC1=C(C=CC(=C1)C)C,186.0,185.54600000000005,180.687
CCC(CC)CO,155.0,148.606,126.51300000000003
CCC(=C)CC,64.7,68.79200000000003,65.029
CCCCC(CC)CO,186.2,181.23200000000003,162.99100000000004
CCCC(=C)CC,94.0,93.32900000000001,87.024
CCC(CC)C(=O)O,193.0,185.04500000000002,173.44800000000004
CCC1=CC=CO1,92.0,120.49000000000001,105.721
CCCCC(CC)C(=O)O,227.5,213.336,204.55200000000002
CCC1=CC2=CC=CC=C2C=C1,259.0,236.86,255.755
C1=COC(=C1)CO,168.0,172.91200000000003,163.43100000000004
CCCCCC(C)O,159.0,161.19600000000003,156.51000000000005
CCCCC(=O)C,127.6,124.52000000000004,119.29000000000002
CC(C)OCCO,141.6,143.841,136.46000000000004
COCCO,124.3,120.327,114.132
CC1CCCO1,80.0,74.38800000000003,73.82500000000005
CC(=C)C=C,34.0,27.055000000000007,32.543000000000006
CCC(C)CO,129.0,130.024,113.96800000000002
CCCCCC(=C)C,119.0,106.34900000000005,109.17200000000003
CCCCC(=C)C,92.0,90.26500000000004,87.09800000000001
CCCC(C)CO,157.0,147.481,136.389
CCCC(=C)C,62.1,68.73400000000004,48.24800000000005
CC(C)CO,107.84,104.95000000000005,91.91000000000003
CCC(C)(C)O,102.4,108.55900000000003,86.55100000000004
CC=C(C)C,38.5,41.537000000000035,26.496000000000038
CCCCC=C(C)C,122.0,112.07900000000001,114.46200000000005
CCCCC(C)(C)O,142.0,143.97400000000005,138.788
CCCC(C)(C)O,121.0,126.73000000000002,113.56900000000002
CCC=C(C)C,67.3,76.142,59.65900000000005
CC(C)(C=C)O,99.3,106.08700000000005,75.29000000000002
CCCC(=O)C(C)C,134.0,125.245,123.28700000000003
CCC(=O)C(C)C,118.0,106.738,99.68300000000005
CC1=CC=CC=C1C2=CC=CC=C2,258.0,270.66200000000003,263.2900000000001
CCC(C)C,27.83,29.79000000000002,27.684000000000026
CC1=CC=CO1,63.9,104.435,84.42200000000003
CCCCCC(C)C,117.6,111.49700000000001,111.97300000000001
CCCCC(C)C=O,141.0,130.25100000000003,121.60200000000003
CCCCC(C)C,90.0,91.82000000000005,88.30600000000004
CC1=CC2=CC=CC=C2C=C1,241.1,223.82000000000005,241.03600000000006
CCCCCCCC(C)C,167.0,144.20700000000005,149.71700000000004
CCCCCCC(C)C,143.0,128.08200000000005,130.84500000000003
CCCC(C)C=O,118.0,113.113,101.11400000000003
CCCC(C)C,60.21,69.91900000000004,53.528999999999996
CC(=C)C(=O)O,160.0,150.22200000000004,143.358
CC(C)C(=O)OC(=O)C(C)C,183.0,158.68100000000004,169.175
CCCCCCCC(C)O,193.5,193.339,194.255
CCCCCC=CC,125.6,105.49200000000002,109.86900000000003
CCCCCC#CC,138.0,117.243,96.755
CCCC(C)O,119.1,126.26800000000003,112.03800000000001
CCCC(=O)C,102.2,102.50800000000004,88.06300000000005
CCC=CC,36.9,48.37300000000005,33.64700000000005
CCC#CC,56.0,55.58200000000005,40.18900000000002
CC(C)O,82.21,86.642,61.30600000000004
CC(=O)C,56.08,40.762,34.01800000000003
CCC(C)C(C)(C)CC,139.0,128.73600000000005,118.08800000000002
CCC(C)CC(C)(C)CC,157.0,144.95700000000005,144.15200000000004
