SMILES,EX_Liquid Density,m,sigma,epsilon_k,epsilonAB,KAB,molar_mass_rdkit,density_25C_1atm
CCCC(C)(C)C,669.58,2.9984705290580207,3.9244620492168645,254.15184458214736,9.094947017729282e-13,4.336808689942018e-18,100.20499999999998,
CC(C)C(C)(C)C(C)C,720.0,2.8240370886327897,4.012033411914457,261.35425876093143,9.094947017729282e-13,4.336808689942018e-18,128.25899999999996,
CC(CO)C(C)(C)C,823.8,3.784687738153136,3.3648168545730894,246.86218094691344,2360.198489322972,0.010000000000000002,116.204,
CC(=C)C(C)(C)C,700.54,2.832607907454176,3.9146457753474833,248.02642643176665,20.991638660454214,0.00010000000000000417,98.189,
CCCC(C)(C)C(C)C,732.3,3.0427408260246613,3.993069192789708,265.07900666353993,0.36516714496679015,0.00010000000000000373,128.25899999999996,
CCC(C)(C)C(C)C,722.32,3.123478528550352,4.074026401674574,264.92948105766146,9.094947017729282e-13,4.336808689942018e-18,114.23199999999997,
CC(C)C(C)C(C)C(C)C,759.3,3.0158008477784666,3.934755283686756,254.56705385997316,9.094947017729282e-13,4.336808689942018e-18,142.28599999999997,
CCC(C)C(C)C(C)C,734.7,3.259584290209891,3.9472906150132876,252.86858537699442,9.094947017729282e-13,4.336808689942018e-18,128.25899999999996,
CC(C)C(C)C(C)C,715.03,3.0406473538177403,3.9408079387116763,255.23350139528378,9.094947017729282e-13,4.336808689942018e-18,114.23199999999999,
CC(C)CC(C)C(C)C,721.9,3.143822726643551,3.937282042236264,251.34864552974753,9.094947017729282e-13,4.336808689942018e-18,128.25899999999996,
CC(=O)C(=O)C,990.0,3.364720542355572,3.462137876508076,267.299107411058,89.54213230037738,0.0003000000000000038,86.08999999999999,
CCCC(C)C(C)C,708.09,3.425851854466337,3.9208669154982205,247.85027762481118,9.094947017729282e-13,4.336808689942018e-18,114.23199999999999,
CC(C)C(C)(C)O,815.5,3.1738714617406343,3.797472940805322,250.75949264079816,2022.4963834950056,0.009700000000000002,102.17699999999998,
CC(C)C(C)C,656.98,2.7822769196509722,3.932372514156982,250.24420379007927,9.094947017729282e-13,4.336808689942018e-18,86.178,
CCCCC(C)C(C)C,725.8,3.2097731131685316,4.269865307341052,282.5827208074791,23.677387641317296,0.00010000000000000417,128.25899999999996,
CCC(C)C(C)C,689.6,3.264747042672478,3.944930302461448,252.74879964811566,9.094947017729282e-13,4.336808689942018e-18,100.20499999999998,
CC(=C)CC(C)(C)C,715.1,3.011014945828788,3.9907448121276756,254.51576080825038,40.79076665840131,0.00020000000000000356,112.216,
CCC(C)(C)CC(C)C,719.6,3.2991760003674773,4.097095651550481,261.4300821092066,9.094947017729282e-13,4.336808689942018e-18,128.25899999999996,
COCOCOCOCOCOCOC,1130.0,4.14728372703583,3.546525911153106,257.72075988256563,9.094947017729282e-13,4.336808689942018e-18,226.22499999999994,
COCOCOCOCOCOC,1100.0,4.14728372703583,3.546525911153106,257.72075988256563,9.094947017729282e-13,4.336808689942018e-18,196.19899999999996,
COCOCOCOCOC,1060.0,4.14728372703583,3.546525911153106,257.72075988256563,9.094947017729282e-13,4.336808689942018e-18,166.17299999999997,
COCOCOCOC,1020.0,4.14728372703583,3.546525911153106,257.72075988256563,9.094947017729282e-13,4.336808689942018e-18,136.147,
COCOCOC,960.0,4.010339781933896,3.525108336146608,253.4934291775138,9.094947017729282e-13,4.336808689942018e-18,106.121,
CC(C)C=C(C)C,695.5,2.866558765570816,3.8473585997110082,274.358699194879,698.1214740942012,0.0035000000000000027,98.189,
CC(C)C(=O)C(C)C,803.9,4.085297084750847,3.5279776969707655,245.61849656271326,82.20608460164215,0.00040000000000000343,114.18799999999997,
CCC(C)CC(C)C,696.2,3.0116948670287496,3.8802167810411645,243.31366069067815,9.094947017729282e-13,4.336808689942018e-18,114.23199999999999,
CC(C)CC(C)C,674.5,3.062459801614939,3.9003393488298177,245.48697630008115,9.094947017729282e-13,4.336808689942018e-18,100.20499999999998,
CC(C)CC=C(C)C,726.5,3.001582996482231,3.8811426229075203,280.2668344667438,681.5000733421244,0.003500000000000003,112.21599999999998,
CC(C)C=CC(C)C,712.2,2.7200857197802537,3.793042981944996,262.1939567074507,9.094947017729282e-13,4.336808689942018e-18,112.21599999999998,
CC(=CC=C(C)C)C,764.6,2.8291359611371125,3.7988628335127776,278.56182492556957,742.6137080887106,0.0036000000000000025,110.2,
CCC(C)CCC(C)C,714.0,3.286603385059422,3.94248590686063,250.06242076248887,9.094947017729282e-13,4.336808689942018e-18,128.259,
CC(C)CCC(C)C,689.34,3.3376425768361027,3.9587732796649746,250.36107749352095,9.094947017729282e-13,4.336808689942018e-18,114.23199999999999,
CC(C)CC(=O)CC(C)C,801.2,4.232460217211101,3.6507561676569416,246.88379083293285,16.762555057254815,0.00010000000000000373,142.242,
CC1CCCC(C1=O)C,915.0,3.347532989043712,3.7815204171222105,304.0253437060315,9.094947017729282e-13,4.336808689942018e-18,126.19899999999998,
CC(C)CCCC(C)C,709.8,3.2444487568236906,4.077122647978001,270.01092864568216,9.094947017729282e-13,4.336808689942018e-18,128.259,
CC=CC,636.0,2.5050374509679862,3.666082137766474,235.4931509803236,9.094947017729282e-13,4.336808689942018e-18,56.108000000000004,
CCOC(C)C,721.1,4.081853773730423,3.606673159050471,230.45000306947935,9.094947017729282e-13,4.336808689942018e-18,88.15,
CCC(=C)C(C)C,718.6,3.179947442542633,3.770890626378854,244.90232757743576,510.4062354954707,0.0021,98.18899999999998,
CCCCC=CC,713.0,3.044889451485106,3.747672730271568,241.1234929039433,9.094947017729282e-13,4.336808689942018e-18,98.18899999999998,
CC(=C)CCC=C,723.0,2.848826658710042,3.8390530371096925,254.7927991983101,44.293409812352934,0.00020000000000000356,96.173,
CC=CC=C(C)C,743.9,2.817801510657138,3.8220617068342815,291.3454433686238,742.6347331302928,0.003800000000000003,96.173,
CCCC=C(C)C,704.1,3.0400004455410636,3.8126748460840507,280.3687844435086,813.2434282160332,0.0039000000000000033,98.189,
CCC(CC)C(C)C,719.32,3.204530603680978,3.9228562999522003,253.22511301965474,9.094947017729282e-13,4.336808689942018e-18,114.23199999999999,
CCCC=CC(C)C,725.0,2.8871940825564644,3.8570637620450734,268.091646704743,168.72265971925975,0.0007000000000000027,112.21599999999998,
CCC=CC(C)C,694.2,2.7858924889488,3.8041540083075027,264.1941186163055,194.88035553809266,0.0008000000000000025,98.189,
CC(C)C,550.9,2.454716619568673,3.8162665433674383,233.34477487512714,9.094947017729282e-13,4.336808689942018e-18,58.123999999999995,
C=CCC1=CC=CC=C1,923.7,3.6689896364124523,3.6203752650311847,307.44102423742885,9.094947017729282e-13,4.336808689942018e-18,118.17899999999995,
CCC(C)O,802.4,3.6518527869504473,3.407172629911206,232.18818161298742,2156.921348765413,0.010000000000000002,74.12299999999999,
CCCCC1=CC=CO1,898.3,3.3600409517793417,3.708316392225448,278.15594472534343,9.094947017729282e-13,4.336808689942018e-18,124.18299999999996,
CCC1CCCO1,853.9,3.1578044344490293,3.837881618975052,263.48136571245817,9.094947017729282e-13,4.336808689942018e-18,100.161,
CCC1=C(C=CC(=C1)C)C,877.7,3.612742441708912,3.725122022101125,291.9759449269122,9.094947017729282e-13,4.336808689942018e-18,134.22199999999995,
CCC(=C)CC,691.4,3.109504874538935,3.7499191893020036,254.31258758221958,812.2929286485053,0.0033000000000000026,84.16199999999999,
CCCC(=C)CC,707.9,3.1318409950302515,3.7542596607404475,255.18474053573607,780.5044290994882,0.003200000000000002,98.189,
CCC1=CC=CO1,901.8,3.218780406385699,3.596988078983098,270.9237947096329,9.094947017729282e-13,4.336808689942018e-18,96.12899999999998,
C1=COC(=C1)CO,1133.0,2.7695897164692647,3.640875104149476,328.5039950303542,2050.9572245461077,0.0099,98.10099999999998,
CCCCC(C)O,810.14,3.5427763904493603,3.70661948375081,248.662715159544,2328.502363497528,0.010000000000000002,102.17699999999998,
CC1CCCO1,854.0,2.7524597784012745,3.756936660175094,276.98368623149673,9.094947017729282e-13,4.336808689942018e-18,86.134,
CC(=C)C=C,681.0,2.633522814902061,3.75322045173529,244.2408268777567,9.094947017729282e-13,4.336808689942018e-18,68.11900000000001,
CCC(C)CO,814.78,3.2522153337490214,3.589903850841353,248.7023335980507,2433.5508369989234,0.010000000000000002,88.14999999999999,
CCCC(C)CO,820.6,3.383096952400482,3.6702030625118987,256.94198236936603,2351.4877170778623,0.010000000000000002,102.17699999999999,
CC(C)CO,798.03,3.8105370490362196,3.2870592598806527,237.72878515365107,2295.8341163980353,0.010000000000000002,74.12299999999999,
CCC(C)(C)O,804.01,4.6702252483389,3.2768066417712842,217.3862549399355,1823.7246446141464,0.009900000000000003,88.14999999999998,
CC=C(C)C,656.94,2.7335898554245412,3.728694833338355,313.59959820347007,742.6137080887106,0.0036000000000000025,70.13499999999999,
CCCCC=C(C)C,720.5,3.111353287309514,3.798913481917129,273.01709366696144,755.9964421939333,0.0036000000000000025,112.21599999999998,
CCCCC(C)(C)O,809.4,3.909870350585445,3.632175484809081,245.1150741897591,1697.5542828286766,0.0089,116.20399999999998,
CCCC(C)(C)O,809.5,3.9574926057953363,3.526834044025876,236.5642896542708,1905.5254350875823,0.010000000000000002,102.17699999999998,
CCC=C(C)C,690.4,2.934121687039173,3.861093764222029,286.43049930064774,671.8991288252898,0.0036000000000000034,84.16199999999999,
CC(C)(C=C)O,820.0,2.6818208677957225,3.8456664320256255,199.99079675105025,2873.0884917739936,0.009600000000000001,86.134,
CCCC(=O)C(C)C,842.8,4.040413607727075,3.613243327829183,251.22402588128264,104.20355209408876,0.0005000000000000037,114.18799999999997,
CCC(=O)C(C)C,800.0,3.860242119584065,3.536517776284613,250.03403847490745,105.6298218049148,0.0005000000000000037,100.16099999999999,
CCC(C)C,619.7,2.7598029391608505,3.8660169456225204,238.86192788761278,9.094947017729282e-13,4.336808689942018e-18,72.151,
CC1=CC=CO1,916.0,3.0447317352466055,3.518266514765521,263.7279728620508,9.094947017729282e-13,4.336808689942018e-18,82.102,
CCCCCC(C)C,693.92,3.443292841895349,3.938684341052134,253.7831934899349,9.094947017729282e-13,4.336808689942018e-18,114.23199999999999,
CCCCC(C)C,678.9,3.4011104951740965,3.9733059668128985,257.43643933803924,23.677387641317296,0.00010000000000000417,100.20499999999998,
CC1=CC2=CC=CC=C2C=C1,1004.4,3.638310991214624,3.8659483751626147,331.8667417520801,9.094947017729282e-13,4.336808689942018e-18,142.201,
