rank,smiles,cn,cn_error,ysi,bp,density,lhv,dynamic_viscosity,tanimoto
113,CCCCCCCCCCCCCC(=O)OCCCCCCCC,79.146,13.146,145.68437906994208,246.27555785714333,857.9171162261725,36.69079058955579,8.270730814259473,1.0
114,CCCCCCCC(CCCC)CCCC,52.809,13.191,107.01605884913907,283.2174502489177,773.7175253654706,44.071002586944864,3.760821902835483,1.0
115,COCOC,52.764,13.236,11.991936724166347,46.43062510281697,983.8144767252821,22.82383973435199,0.330050445171041,1.0
116,CCCCCCCCCC1(C)CCO1,52.76,13.24,103.76096918008167,250.26316843724734,874.0357790343426,36.74088399889449,3.5088904797947738,0.36363636363636365
117,CCCCCCCCCCCCCCCCOC(=O)CCCC,79.425,13.425,144.1038929329365,240.93722150793698,858.0612806487194,36.636819359806154,6.94023070847726,1.0
118,CCCCCCC=CCCCCCCCCO,52.447,13.553,113.02371239506138,276.6741593290042,843.934676936958,39.347383162449376,7.572848654449842,1.0
119,COCCOCCO,52.42,13.58,16.274459178818905,177.62453736637462,1014.3826415625285,22.259549211078404,4.872704944375182,1.0
120,CCCCCCC(C(C)C)C1CCCCC1,52.348,13.652,119.10410423106666,277.8035168975468,834.7495924436789,43.511477913459075,7.05423756050064,1.0
121,CCCCOCOCOCCCC,79.686,13.686,47.126812491269625,222.05192861760727,931.8364510904908,32.1483269764973,2.3773636537387035,0.9333333333333333
122,CCCCCCCCCCCC(=O)OCCCCCCCC,79.696,13.696,138.4480535382938,230.318122619048,857.9171162261725,36.560698477503756,6.185500782715009,1.0
123,CCCCCCCCCC(=O)OCC,52.265,13.735,74.61896402348435,251.22643981921215,860.5573114200165,33.833111818912606,2.561034200681983,1.0
124,CCCCCCCCCCOC(=O)CCCCCCCCC,79.839,13.839,138.54423150439547,230.1522654761909,857.8848488029605,36.560698477503756,6.140042636013868,1.0
125,CCCCCCC1CCO1,52.016,13.984,63.90665262264949,186.4982288729736,870.6659966100167,35.16616873593002,1.299900352428419,0.6538461538461539
126,CCCOCOCOCOCCC,80.069,14.069,37.65451010518622,223.367588939923,965.006082244386,29.692019628584326,2.494368077096897,0.5882352941176471
127,CCCCCCCCC1CCO1,51.771,14.229,80.11172594472293,223.4944019933772,871.0142741590801,36.32039298410088,2.1349787026760656,0.6538461538461539
128,C=COCC1CCC(CC1)COC=C,51.697,14.303,94.84125006769284,237.20460936494288,979.2437592237211,30.568387791093063,5.325131726423651,1.0
129,CCCCCCCCC(CCCCCCC)CCCCCCCC,80.386,14.386,141.62240758961218,362.3002271428573,780.0337547133312,44.06189827488913,13.846485606780709,1.0
130,CCCCCCCCCC(=O)OC(C)C,51.606,14.394,77.50920663752125,252.61607105219443,863.0977476366045,33.81787159515313,3.4522388897001774,1.0
131,CCCCCCCCCCCC(=O)OCCCCCCCCCC,80.434,14.434,144.79336603086483,245.84771785714332,857.9171162261725,36.67924700020871,8.153404769748755,1.0
132,CCCCCCCCCCCCCC(=O)OCCCCCCCCCC,80.484,14.484,145.7132025525894,247.87462928571472,857.9171162261725,36.69079058955579,9.549068475899023,1.0
133,CCCCCCC(C)C(C)CCCCCC,51.313,14.687,108.53261835273744,280.2397200252526,772.17735469442,44.06946149416135,3.99859939397901,1.0
134,CCCCCCCCOC(=O)CCCC,51.276,14.724,86.37652071946462,236.49164500485398,857.6493500668756,33.80094891470298,2.88676322605044,1.0
135,CCCCOCOCOCOCCCC,80.809,14.809,56.45951705561878,238.4760279131199,948.5187780247975,32.05276007392407,3.4698758455691547,0.9333333333333333
136,COCOCOCOC,80.94,14.94,15.582648042824953,159.25064001920956,1046.7247642286327,19.001257767697588,1.2661294796792635,1.0
137,CC(COC(C)COC(C)COC)O,50.99,15.01,52.25740376771039,223.33758111281423,989.9232887133944,28.05413477791909,7.9464859474161855,1.0
138,CCCCCCCCCCCCCCOC(=O)C,81.083,15.083,107.63875635129135,221.77049191738823,864.3607332634713,35.77070993401657,4.467488729922734,1.0
139,CCCCCCCCCCCCOC(=O)CCCCCCCCCCC,81.145,15.145,145.7132025525894,247.75597928571472,857.9171162261725,36.68832242288912,9.51173163715825,1.0
140,CCCCNCCCC,50.744,15.256,46.22255767266392,151.79731425215448,761.5777987501368,39.50179592688526,1.4792352323557252,0.46153846153846156
141,CCCCCCCCCCCCCCCC(=O)OCCC,81.353,15.353,129.11791162189078,294.0195744444447,857.7479432851042,36.60871393647119,5.464154199176283,1.0
142,CCCCCCCC(=O)CC,50.609,15.391,52.12866395627246,209.07535435762287,822.3124288554408,37.739004216481,1.3914545403494698,0.9444444444444444
143,CCC(C)CCCC(C)CCCC(C)C,50.582,15.418,114.0477431843557,234.9023091435062,766.3092324022263,44.07440240568194,3.5575056361470447,1.0
144,CCCCCCCCC=CCCCCCCCC(=O)OCC(CC)CCCC,81.53,15.53,145.5111267429746,361.94828150793677,868.4111356300365,36.780936038111676,15.450529109481796,1.0
145,CCCCCCCCC=C,50.458,15.542,76.0118816549638,172.165820566092,739.1690819921163,44.13916802483832,0.8900686639922283,1.0
146,CCCCCCCCCCCCCCCC(=O)OCCCC,81.606,15.606,137.98774574538288,263.68698650793687,857.7084726217332,36.68707190965479,5.99067994246151,1.0
147,CCCCCCCCC(=O)C,50.318,15.682,53.14621732141395,210.94862431743036,827.3208740337818,37.915660314640874,1.3805018421148143,1.0
148,CCCCCCCCCCCCCCCC(=O)OCCCCCC,81.775,15.775,145.94309285659796,247.06303960317504,857.9171162261725,36.69553768233929,8.280229804775301,1.0
149,CCCC(C)CCCC(C)CCCC(C)C,50.185,15.815,115.04221161793788,247.8833098219128,769.0013756612611,44.071654173215364,4.247797211689649,1.0
150,CCCCCCCCCCC1=CC=CC=C1,50.141,15.859,106.49028300245494,288.67630443533074,851.3867226182355,42.3395450113051,3.9132573018426964,1.0
151,CCCCCCCCCCO,50.103,15.897,65.9002492502492,227.13096884783107,835.2986568877674,38.82133486100685,11.854423373658065,1.0
152,CCCCCC(CCCCC)OCC,50.087,15.913,85.19167354146485,228.14496319180444,762.6959151931206,38.67587868566293,2.5388951456579574,0.4583333333333333
153,CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC,81.957,15.957,145.73785941699614,247.9888181746036,857.9171162261725,36.69079058955579,10.537516285957052,1.0
154,CCCCCCCCCC(=O)OC,50.026,15.974,70.01894150085647,230.98720169949314,868.2653062712945,33.79083711516119,2.1425721084370335,1.0
155,CCCCCCC1(CC)CCO1,49.979,16.021,88.93431527674748,224.66628385928897,871.2008390565784,36.21664519145981,2.292214959239579,0.34782608695652173
156,CCCCCCCC1OC(C)C(C)O1,49.894,16.106,89.83453289350528,249.11611070916504,932.9964813312507,34.01834182245037,3.7270606937477035,0.4
157,CC(COC)OC,49.826,16.174,18.711210918330714,98.245271843062,933.7717167177651,27.56732678247122,0.5566345236666532,0.5
158,CCCCCCCC(CCC)=CCCCCCC,49.797,16.203,116.47134065780989,312.6925821428572,775.109088731327,44.03975826567992,5.234587781995064,1.0
159,CCCCCCC=O,82.303,16.303,33.02738550464958,147.2333170072123,823.9235414061089,36.177096545197216,0.6508229966499565,1.0
160,CCCCCCCC(CC)CC,49.67,16.33,79.78591624390677,215.01884864755672,754.3119284021049,44.09155326358222,1.7144653109970764,1.0
161,CCCCCCCCC1CC(=O)O1,49.534,16.466,79.88502362435378,253.0693086411639,985.045534293851,33.23222276037064,2.890532764059505,1.0
162,CCCCCCN,49.488,16.512,36.465465458920626,113.69663115515253,753.853766526615,38.052582374631676,0.49160567161002494,0.6153846153846154
163,CCCCCCCCCCCCCCCC(=O)OCC,82.913,16.913,120.06829542289726,332.2133417460317,859.4175743612726,36.39704790902068,5.089333010947481,1.0
164,CCC(C)CCCC(C)C,48.726,17.274,72.84253205398187,158.7534665876954,725.8476929289345,44.16107022200634,0.9264730124201249,1.0
165,CCCCCCCC=O,83.343,17.343,38.28029901002957,165.16601353141408,824.6618577777666,37.143971928536196,0.7906912220646692,1.0
166,CCCCCNC=O,48.561,17.439,30.915971103658812,137.21969241550497,841.7468096867661,33.381890447190344,0.9864014112348952,0.5238095238095238
167,COC1CCCCO1,48.533,17.467,29.728188051327653,130.86510930095332,982.2277004398763,27.569985009154134,1.090123493974034,0.391304347826087
