rank,smiles,cn,cn_error,ysi,bp,density,lhv,dynamic_viscosity,tanimoto
50,CC(C)CCCC1CCC2CCCC2C1,47.13,18.87,121.10751714147828,239.52699399613792,838.9226789854816,43.520676825136455,8.006613057423449,0.3333333333333333
51,CCCCCCCCCCCCOC=C,84.926,18.926,94.68032359527173,241.79647531385305,782.6854567685195,38.15270589867763,2.8545078125169647,1.0
52,CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCC,85.023,19.023,145.761012197128,248.4529657936512,858.1423716509037,36.69553768233929,12.900347833334543,1.0
53,CCCCC12CC3CC(C1)CC(C3)C2,46.773,19.227,120.58840090405272,238.66303171735694,841.7975145886733,43.443509135069874,12.320230950482486,1.0
54,CCCCCC1OC(C)C(C)O1,46.665,19.335,73.72795408419299,212.4647197620711,932.3492098075683,32.821777372704524,2.5318575601060167,0.3684210526315789
55,CCCCCCOC(C)C(=O)OC,46.593,19.407,60.16324250689914,216.6394166517817,951.2760221206532,30.804593896416307,2.9141949981028383,0.4838709677419355
56,CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC,46.503,19.497,120.08805110310726,230.56820884920643,989.1446638880087,32.11454454082799,27.229114159401107,1.0
57,CCCCOC(=O)CCCCC(=O)OCCCC,46.001,19.999,75.97908666881894,221.47885179195163,944.0905350968275,30.568452512334307,6.899296975900255,1.0
58,CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,86.431,20.431,139.9088576215967,220.65860371447067,936.4029570318327,35.446643086405714,11.453172762226155,1.0
59,CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,86.447,20.447,137.66875352572947,220.850535143042,937.0794128237922,34.65278190348482,10.612054999459087,1.0
60,CCCCCCCCCCCCCCCCOC(=O)C,86.958,20.958,122.97148439019122,227.22239849206375,864.3193719593891,36.43984321199892,5.383191221157877,1.0
61,CCCCCCCCCO,44.561,21.439,55.87380040269087,210.3784950536846,830.6255998775845,38.11476172390339,11.151807196217808,1.0
62,CCCC12CC3CC(CC(C3)C1)C2,44.325,21.675,116.71163481836533,229.47162123823387,843.7281653846949,43.443509135069874,9.895425119227742,1.0
63,CCCCC1CCCC2CCCCC12,43.033,22.967,129.50345587755567,240.09224954176986,840.2683840834717,43.45482655941326,6.626610267762108,1.0
64,CCCCCCCC(=O)OCCCC,42.961,23.039,72.97614644307163,231.7789261404455,858.5155046137728,33.13121849662492,2.641487345539151,1.0
65,C1CCC(CC1)C2CCCCC2,42.797,23.203,106.6457386481133,233.4373308358425,851.2917562743327,43.35687484009252,3.968779064875178,1.0
66,CCCCCCOC(=O)CCCCC,42.111,23.889,74.25674929829762,231.36672248965183,858.6486128106798,32.96087110540418,2.619666944814126,1.0
67,CCCCCCCCCCCCCCCCCCOC(=O)C,89.939,23.939,138.57041763663665,231.365551746032,864.3126543235777,36.58810545033962,6.34785004908523,1.0
68,CCCCC(CC)C1OC(C)C(C)O1,41.216,24.784,89.7127294745182,225.6343291596357,927.9512939422344,32.508624675962444,4.2276947335373105,0.4
69,CCCC(CC)C1CCCCC1,40.985,25.015,101.16151476402341,213.2745865679922,830.8060611163708,43.50946811368763,2.3682752231009174,1.0
70,CCCCCC1CCCC(=O)O1,40.945,25.055,73.85309670531457,230.77336261876744,984.0036156662572,31.441019490658427,2.797025875704992,1.0
71,CCCCCCCCC=CCCCCCCCC(=O)OCCCCCC,91.176,25.176,145.5195492180889,246.9534178571433,868.0529558261717,36.66937451297258,8.650344357695637,1.0
72,CCCC1CCCC2CCCCC12,40.808,25.192,125.93013659392642,230.29790358401704,840.6988082750145,43.458235359985046,5.399260583794242,1.0
73,CCCC1CCCC2C1CCCC2,40.808,25.192,125.93013659392642,230.29790358401704,840.6988082750145,43.458235359985046,5.399260583794242,1.0
74,C1CCC2CCCCC2C1,40.601,25.399,102.16688277098159,188.88844652664517,850.1224063764446,43.35807639064125,2.6813462663427536,1.0
75,CCCCCCCCCCOC(=O)CCCCCCCC=CCCCCCCCC,92.178,26.178,145.631373927532,247.84091785714327,867.3888658379936,36.67015401812722,11.866835937653883,1.0
76,COC(=O)CCCCCCCC=C,39.77,26.23,92.09381699747863,220.57781430610243,899.3626708006735,30.850583501268186,2.5614417308954085,1.0
77,CCCCCC1(CCC)CCO1,39.497,26.503,88.08450785147174,212.9531950660143,871.9074514379635,36.11368627929323,2.2752286055799034,0.34375
78,CCCCOCC(C)O,39.382,26.618,34.333253000481186,171.2723226645151,903.8795012250264,30.555767016241177,7.309541421065627,1.0
79,CCC(CC)C1OC(C)C(C)O1,38.917,27.083,77.41591704712803,208.61445759755978,942.0872247417756,30.9413117174497,2.9783454921748094,0.2727272727272727
80,CCCCC1CCCCC(=O)O1,38.354,27.646,73.58302281524867,229.9070452912408,984.4217633011955,31.242419122163074,2.6059125550703963,1.0
81,CCC1C2CC3CC(C2)CC1C3,38.106,27.894,109.2716655984841,220.24445045478151,835.6290124498984,43.45887600868314,9.799311034848525,1.0
82,CCC(C)C1CCCC2CCCCC12,38.105,27.895,129.2155289206684,233.6215238127103,840.0704852589639,43.41834202937555,6.9570431319245145,1.0
83,CCCCC1(CCCC)CCO1,37.993,28.007,87.97128610954277,212.01844518793155,871.3789487146987,34.72773928709586,2.1462730303270248,0.3448275862068966
84,CCCCCCCCC=CCCCCCCCC(=O)OCCCCCCCC,94.073,28.073,145.631373927532,247.59011547619093,867.6113601889266,36.66937451297258,10.648421783472804,1.0
85,CCCCCCCC(C)O,37.74,28.26,52.42064062840161,193.42678579605024,819.9069585790676,37.698592929743526,9.120887161997306,1.0
86,CCCCCCCCO,35.948,30.052,44.64255050327079,189.682609291281,827.2909693372245,37.63363142395937,9.784883633358932,1.0
87,CCCCC(CC)CO[N+](=O)[O-],35.298,30.702,60.700210774508705,199.51751405242584,888.998903271147,32.029595756125744,5.163189525445694,0.4473684210526316
88,CCCCCCC(C)O,35.16,30.84,45.409009283830045,178.55115228296162,816.7477911988577,37.30035853508947,9.058285006445042,1.0
89,CCC(CC(C)C)C(CC)CC(C)C,34.619,31.381,107.83668215415658,218.78842923837044,760.5165173518571,44.12622396287753,3.5486748478078733,1.0
90,CC1=CC(=C(C=C1)C)C#C,34.474,31.526,98.85599489603379,193.6520935336158,913.9255457637311,41.008404268297426,2.0790348800487832,0.4782608695652174
91,C#Cc1cc(C)ccc1C,34.474,31.526,98.85599489603379,193.6520935336158,913.9255457637311,41.008404268297426,2.0790348800487832,0.4782608695652174
92,CCCCCCCO,32.529,33.471,36.93478604670471,173.75168341206623,822.3287346097709,36.74080538439718,7.622948556718943,1.0
93,CC(C)CCCC(C)CCCC(C)CCO,32.288,33.712,111.84828625423727,242.1410725041413,833.2283279055687,38.26584621152288,8.177634857912627,1.0
94,CCCCCCCC1=CC=CC=C1,32.287,33.713,97.52677335978626,243.9359270971159,853.026375617863,42.10108166201384,2.268074332346593,1.0
95,CCCCCCO,31.214,34.786,31.620691020924454,158.49920443666142,818.6918388441318,35.91233424373816,5.769468462418289,1.0
96,CCCCCCC(C)C1=CC=CC=C1,31.211,34.789,97.56773204297824,249.78009801052394,859.0741322680899,42.02136620153561,3.259030531451837,1.0
