rank,smiles,mixture_cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi,mixture_bp,mixture_density
52,CCCCCCCCCCCCCCCC(C)C,74.75906379007907,2.240936209920932,74.75906379007907,110.9880713031814,True,OK,False,100.0,74.75906379007907,0.4,0.1006526904091859,True,110.9880713031814,270.09898298257633,798.8795871446525
53,CCCCC=CCCCCCC(CCCCCCC)CCCCCCCC,79.24255245320128,2.2425524532012844,79.24255245320128,127.60049840571308,True,OK,False,100.0,79.24255245320128,0.4,0.026020145211880674,True,127.60049840571308,329.3102493964178,795.5668953542952
54,CCCCC=CCCCCCCCC(CCCCCC)CCCCCCC,79.32049095466928,2.320490954669282,79.32049095466928,127.60049840571308,True,OK,False,100.0,79.32049095466928,0.4,0.024860763080977177,True,127.60049840571308,329.3102493964178,795.5668953542952
55,CCCCC=CCCCCCCCCC(CCCCC)CCCCCCC,79.51864429964908,2.5186442996490825,79.51864429964908,127.60049840571308,True,OK,False,100.0,79.51864429964908,0.4,0.028328754047236893,True,127.60049840571308,329.3164689963028,795.4807620059744
56,CCCCC=CCCCCC(CCCCCC)CCCCC(C)CC,74.3263576484906,2.6736423515094003,74.3263576484906,126.36360282396464,True,OK,False,100.0,74.3263576484906,0.4,0.07011532510449514,True,126.36360282396464,316.24096079577566,795.3883335009749
57,CCCCC=CCCCCCCC(CCCCC)CCCCCCC(C)=O,74.30402616810181,2.6959738318981863,74.30402616810181,128.19178009307382,True,OK,False,100.0,74.30402616810181,0.4,0.013425950325843927,True,128.19178009307382,327.6097050488803,833.5811904993107
58,CCCCCCC(CCCCCCCC(C)CC)CCCC(C)CCCC,79.71126355817184,2.7112635581718365,79.71126355817184,127.66558692188933,True,OK,False,100.0,79.71126355817184,0.4,0.0213713244888577,True,127.66558692188933,330.2812368252968,795.0698869554692
59,CCC(C)CCCCCCCCCCCCCCCC(CC)CC,79.84286265742645,2.8428626574264513,79.84286265742645,125.52480713228572,True,OK,False,100.0,79.84286265742645,0.4,0.04797410184676232,True,125.52480713228572,310.55007286735054,796.635986698029
60,CCCCCCC(CCCCCC(=O)CC)CCCCC(C)CCCC,73.93233104434258,3.0676689556574246,73.93233104434258,127.10335589388978,True,OK,False,100.0,73.93233104434258,0.4,0.030195351155177463,True,127.10335589388978,322.6571208893256,822.1781860407784
61,CCCCCCCCCCCCCCC,73.87210021316189,3.127899786838114,73.87210021316189,104.42735945635044,True,OK,False,100.0,73.87210021316189,0.4,0.12693810331991984,True,104.42735945635044,249.09147775823817,799.0590338457419
62,C=C(C)CCCCCCCCCCCCCC(CC)CC,73.85553944185949,3.1444605581405085,73.85553944185949,119.41092811151529,True,OK,False,100.0,73.85553944185949,0.4,0.08859864453003341,True,119.41092811151529,289.5481023908204,797.2669073050196
63,CCCCCCC(CCCCCC)CCCCCCC=CCCCC(C)=O,73.79265653862383,3.207343461376169,73.79265653862383,128.2238346321097,True,OK,False,100.0,73.79265653862383,0.4,0.01634331498819186,True,128.2238346321097,327.6115913741362,833.4732546405011
