mutations_per_parent,crem_max_size,crem_min_freq,label,run_type,completed_rounds,pop_size,diversity,best_fitness,avg_fitness,pareto_size
5,1,3,size=1,sweep,4,94,0.6659287004807952,0.021015084958449393,3.6063304873842648,0
5,1,3,size=1,sweep,5,104,0.6053299700335885,0.021015084958449393,3.0298667624057063,0
5,1,3,size=1,sweep,6,102,0.5763576866192209,0.021015084958449393,3.164268454729106,0
5,1,3,size=1,sweep,7,100,0.5443415913936043,0.021015084958449393,2.7550467131742704,0
5,1,3,size=1,sweep,8,116,0.6264140725696319,0.021015084958449393,3.2566707035089837,0
5,3,3,size=3,sweep,0,409,0.8455488450064476,0.026144074858926558,24.338680645581455,0
5,3,3,size=3,sweep,1,120,0.7025092561338645,0.021015084958449393,5.9778541356138595,0
5,3,3,size=3,sweep,2,109,0.718240359416056,0.021015084958449393,6.321774101781146,0
5,3,3,size=3,sweep,3,114,0.6596653723184722,0.021015084958449393,4.285342738943404,0
5,3,3,size=3,sweep,4,120,0.5956688094566248,0.02087758477631496,4.44266114816132,0
5,3,3,size=3,sweep,5,110,0.6333371773247887,0.02087758477631496,3.670786848370404,0
5,3,3,size=3,sweep,6,121,0.5966991064132642,0.02087758477631496,4.1120437599904065,0
5,3,3,size=3,sweep,7,112,0.5566014999281853,0.02087758477631496,3.010443128873387,0
5,3,3,size=3,sweep,8,109,0.575263392326399,0.014987438358296856,3.274544915338035,0
5,2,1,freq=1,sweep,0,409,0.8455488450064476,0.026144074858926558,24.338680645581455,0
5,2,1,freq=1,sweep,1,107,0.7266994134078087,0.021015084958449393,5.265430476235019,0
5,2,1,freq=1,sweep,2,96,0.7170070804237695,0.021015084958449393,4.431391144442915,0
5,2,1,freq=1,sweep,3,104,0.6844245941179994,0.021015084958449393,2.7454295715071835,0
5,2,1,freq=1,sweep,4,97,0.6018022114040174,0.021015084958449393,2.299689423462504,0
5,2,1,freq=1,sweep,5,109,0.5929278356971643,0.021015084958449393,2.3190549701550767,0
5,2,1,freq=1,sweep,6,113,0.5172010164136621,0.004569382350744888,2.161417526316226,0
5,2,1,freq=1,sweep,7,102,0.5085584378490156,0.004569382350744888,2.0704883992446446,0
5,2,1,freq=1,sweep,8,101,0.40952234021737083,0.004569382350744888,1.5312207978176977,0
5,2,5,freq=5,sweep,0,409,0.8455488450064476,0.026144074858926558,24.338680645581455,0
5,2,5,freq=5,sweep,1,128,0.7379484902498205,0.026144074858926558,6.874959257448116,0
5,2,5,freq=5,sweep,2,110,0.693843844418194,0.026144074858926558,4.110117595097104,0
5,2,5,freq=5,sweep,3,109,0.6688585291752529,0.026144074858926558,5.084469324451587,0
5,2,5,freq=5,sweep,4,96,0.6499857235689414,0.021015084958449393,2.528417151144424,0
5,2,5,freq=5,sweep,5,99,0.6657486172944452,0.021015084958449393,3.1376886536028237,0
5,2,5,freq=5,sweep,6,118,0.6429804518426803,0.021015084958449393,3.4552849766201614,0
5,2,5,freq=5,sweep,7,100,0.6294744735364756,0.021015084958449393,3.046852383790482,0
5,2,5,freq=5,sweep,8,113,0.6153833523794101,0.021015084958449393,3.834128512856953,0
5,2,3,default,convergence,0,409,0.8455488450064476,0.026144074858926558,24.338680645581455,0
5,2,3,default,convergence,1,111,0.7288485835324812,0.026144074858926558,5.950441965751849,0
5,2,3,default,convergence,2,103,0.7247738291151297,0.026144074858926558,4.659118833810362,0
5,2,3,default,convergence,3,111,0.6993582902423454,0.026144074858926558,3.1056683445298576,0
5,2,3,default,convergence,4,110,0.6620668391364234,0.021015084958449393,2.7134167615400346,0
5,2,3,default,convergence,5,96,0.6100229558056401,0.021015084958449393,2.6008074544711626,0
5,2,3,default,convergence,6,107,0.6046007287927461,0.021015084958449393,2.315910122962097,0
5,2,3,default,convergence,7,95,0.5549006107138753,0.021015084958449393,2.7858658114235744,0
5,2,3,default,convergence,8,105,0.5754730310698702,0.021015084958449393,2.024944868145563,0
5,2,3,default,convergence,9,108,0.633643841550036,0.021015084958449393,2.8351798400678514,0
5,2,3,default,convergence,10,94,0.6073369350054894,0.021015084958449393,2.157261536824098,0
5,2,3,default,convergence,11,114,0.5601722980775126,0.02087758477631496,2.4754693462442794,0
5,2,3,default,convergence,12,99,0.559448294944119,0.0018997216175193898,1.786921917118249,0
5,2,3,default,convergence,13,109,0.5346017955050765,0.0018997216175193898,2.3708728559709615,0
5,2,3,default,convergence,14,105,0.4723882639673008,0.0018997216175193898,1.756747724353164,0
5,2,3,default,convergence,15,116,0.4263934975886791,0.0018997216175193898,2.5398939018207125,0
