Feature_Name,Feature_Type,Importance,Original_Index
Morgan_Bit_746,Morgan,0.0,746
Morgan_Bit_1405,Morgan,0.0,1405
Morgan_Bit_239,Morgan,0.0,239
Morgan_Bit_1052,Morgan,0.0,1052
Morgan_Bit_511,Morgan,0.0,511
Morgan_Bit_7,Morgan,0.0,7
Morgan_Bit_788,Morgan,0.0,788
Morgan_Bit_99,Morgan,0.0,99
Morgan_Bit_487,Morgan,0.0,487
Morgan_Bit_323,Morgan,0.0,323
Morgan_Bit_535,Morgan,0.0,535
Morgan_Bit_1029,Morgan,0.0,1029
Morgan_Bit_1692,Morgan,0.0,1692
Morgan_Bit_954,Morgan,0.0,954
Morgan_Bit_1075,Morgan,0.0,1075
Morgan_Bit_642,Morgan,0.0,642
Morgan_Bit_1260,Morgan,0.0,1260
Morgan_Bit_26,Morgan,0.0,26
Morgan_Bit_879,Morgan,0.0,879
Morgan_Bit_868,Morgan,0.0,868
Morgan_Bit_137,Morgan,0.0,137
Morgan_Bit_296,Morgan,0.0,296
Morgan_Bit_870,Morgan,0.0,870
Morgan_Bit_404,Morgan,0.0,404
Morgan_Bit_612,Morgan,0.0,612
Morgan_Bit_1491,Morgan,0.0,1491
Morgan_Bit_170,Morgan,0.0,170
Morgan_Bit_1351,Morgan,0.0,1351
Morgan_Bit_1837,Morgan,0.0,1837
Morgan_Bit_725,Morgan,0.0,725
Morgan_Bit_689,Morgan,0.0,689
Morgan_Bit_1725,Morgan,0.0,1725
Morgan_Bit_1877,Morgan,0.0,1877
Morgan_Bit_1984,Morgan,0.0,1984
Morgan_Bit_817,Morgan,0.0,817
Morgan_Bit_124,Morgan,0.0,124
Morgan_Bit_893,Morgan,0.0,893
Morgan_Bit_975,Morgan,0.0,975
Morgan_Bit_476,Morgan,0.0,476
Morgan_Bit_456,Morgan,0.0,456
fr_Ar_COO,Descriptor,0.0,2138
Morgan_Bit_379,Morgan,0.0,379
Morgan_Bit_86,Morgan,0.0,86
Morgan_Bit_146,Morgan,0.0,146
Morgan_Bit_1978,Morgan,0.0,1978
Morgan_Bit_967,Morgan,0.0,967
Morgan_Bit_755,Morgan,0.0,755
