SMILES,EX_Boiling Point
COC(=O)C1=CC=CC=C1C(=O)OC,282.7
C=COC=C,28.0
CCCCCCCCCCCC=O,185.0
CCCCCCCCCCCCOC(=O)C,265.0
CC,-88.6
C=C,-103.8
CCOC(=O)C1=CC=CC=C1,212.5
CCOC(=O)C,77.1
CCC=CCC=CCC=CCCCCCCCC(=O)OCC,357.0
CCOC,6.0
CCC(=O)OCC,98.9
CCOC=C,36.0
CCOCCC(=O)OCC,168.0
CCC1CCC1,70.0
CCC1CC1,36.0
C(=O)O,101.0
C1=COC(=C1)C=O,161.5
CCCCCCCCCCC(=O)O,280.0
CCCCCCCCCCCCCCCCCC1=CC=CC=C1,402.0
CCCCC(CC)C=O,161.0
CCCCCC(=O)O,204.9
CCCCCCC1CCCC1,206.0
C1CC2=CC=CC=C2C1,177.8
CCCC(=O)OCC(C)C,157.0
CC(C)COC=C,83.0
CC(C)COC(=O)C=C,137.0
CC(=C)OC(=O)C,97.4
CC(C)OC(=O)C1=CC=CC=C1,218.0
CC(C)OC(=O)C,88.6
CC(C)OC(=O)C=C,51.0
CC(C)C1CCCC1,126.4
CC(C)CC(=O)O,176.5
CCCCCC=CCC=CCCCCCCCC(=O)O,229.0
CCC=CCC=CCC=CCCCCCCCC(=O)O,231.0
CC(=O)COC,110.0
COC=O,31.6
COC(=O)C1=CC=CC=C1,199.0
CCCCCCCCC=CCCCCCCCCCCCC(=O)OC,400.0
CC(C)(C)C(=O)OC,102.0
COC=C,6.0
CC1CCC1,37.0
CC1CC1,1.0
CCCCOC=C,94.0
CCCCCCCCCCCCC1=CC=CC=C1,329.0
CCCCCCCCCOC(=O)C,225.0
CCCCCCCCCOC=O,216.0
CCCCCCCCOC(=O)C,210.0
CCCCCCCCOC=O,198.8
CCCCC1CCCC1,156.0
CCCCCCCCCCCCCCCCCCCCCC,369.0
CCCCCCCCCCCCCCCCCCCCC,359.0
CCCCCCCCCCCCCCCCC1=CC=CC=C1,385.0
CCCC1CCCC1,130.9
CC(C)(C)C(=O)O,164.2
CCCCCCCCCCCCCCCCCC(=O)O,371.0
CCCCCCCCCCCCCCCCCCOC(=O)C,208.0
CCCCCCCCC=CCCCCCCCC(=O)O,360.0
C(CC(=O)O)CC(=O)O,273.0
CCCCC(=O)O,186.1
CCCCCOC(=O)CCC,180.0
CCCCCOC(=O)CC,166.0
CCCCCC1CCCC1,180.0
CC=C,-47.6
CCC(=O)O,141.5
CCCC(=O)OCCC,144.0
CCCOC(=O)C,101.0
CC#C,-23.2
CCC(C)C1CCCCC1,179.3
CCCCCCCCCCCCCC(=O)O,250.0
CCCCCCCCCCCCCCOC(=O)C,173.0
CCCC=CCCC,122.6
CCCCCCCCCCC=O,117.0
CCCC(=O)OC=C,116.7
C=CC1CCCCC1,127.0
CCC(=O)OC=C,94.8
C1=CC=C2C=C3C=CC=CC3=CC2=C1,341.3
C1=CC=CC=C1,80.08
C1=CC=C(C=C1)C(=O)O,250.2
C1=CC=C(C=C1)CCC2=CC=CC=C2,280.0
C1CCC(CC1)C2CCCCC2,239.0
C1=CC=C(C=C1)C2=CC=CC=C2,255.2
CCCC=O,74.8
CCCCOC(=O)CCC,164.95
CCCCOC=O,106.1
CCCCCC(=O)OCCCC,204.0
CCCCCCCCCCCC(=O)OCCCC,180.0
CCCCOC(=O)CCC(=O)C,237.5
CCCCCCCC(=O)OCCCC,240.0
CCCCOC(=O)CC,145.1
CCCCCCCCCCCCCCCCCC(=O)OCCCC,343.0
CCCCC(=O)OCCCC,186.0
CCCCC1CCCCC1,180.9
CCCC(=O)O,163.7
C1CCC2CCCCC2C1,195.8
CC1CCCCC1O,165.0
CCCC=CC,68.9
CC1CCCC(C1)O,168.0
CCCCC=CCC,123.0
CC1CCC(CC1)O,174.0
C1CCCCCC1,118.8
C1CCC=CCC1,115.0
C1CCCCC1,80.7
C1CCC(CC1)O,160.9
C1CCC(CC1)C2=CC=CC=C2,239.0
C1CCCCCCC1,151.1
C1CCCC1,49.2
C1CC=CC1,44.2
C1CC1C(=O)O,182.2
C1CC1C2=CC=CC=C2,172.0
CCCCCCCCCC=O,212.0
CCCCCCCCCCOC(=O)CCCCCCCCC,219.0
CCCCCCCCCCC1CCCC1,279.0
CCCCOCOCCCC,179.7
CCCCOC(=O)CCCCC(=O)OCCCC,165.0
CCCCOC(=O)CCC(=O)OCCCC,269.0
CCCCOCCCC,141.6
CCCCOC(=O)CC(=O)OCCCC,253.0
CCOCOCC,86.0
CCOC(=O)CCCCC(=O)OCC,250.0
CCOC(=O)CCCCCCCC(=O)OCC,289.0
CCOC(=O)CCC(=O)OCC,217.0
CCOCC,34.4
CCOC(=O)C(=O)OCC,186.0
CCOC(=O)CCCCCCCCC(=O)OCC,305.0
COCCOCCOC,162.0
CC(C)COCC(C)C,122.7
CC(C)OC(C)C,68.4
COCOC,42.3
COC(=O)CCCCC(=O)OC,115.0
COC(=O)CCCCCCCC(=O)OC,156.0
COC,-24.8
COC(=O)CC(=O)OC,181.1
CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,191.0
CCCCCOCCCCC,187.0
C1=CC=C(C=C1)OC2=CC=CC=C2,258.0
C1=CC=C(C=C1)CC2=CC=CC=C2,264.2
CCCOCCC,90.1
CCCCCCCCCCCC(=O)O,225.0
CCO,78.24
CCOC1=CC=CC=C1,169.8
CCOC(=O)CC(=O)C,180.0
CCCC(=O)OCC,121.1
CCCCCCCCCC(=O)OCC,242.0
CCOC=O,54.09
CCCCCC(=O)OCC,165.0
CCOC(=O)C(C)C,111.0
