source_paper,fuel_name,is_biodiesel,fuel_type,feedstock_type,boiling_point,melting_point,flash_point_C,density_kg_m3,dynamic_viscosity_at_20,dynamic_viscosity_at_60,lower_heating_value_MJ_kg,cetane_number,engine_type,engine_speed,injection_pressure_bar,IMEP_bar,CIN_injection_timing_CAD_BTDC,CIN_ignition_delay_CAD,CIN_indicated_thermal_efficiency,CIN_injection_duration,CIN_peak_pressure_bar,CIN_peak_HRR_J_deg,CIN_max_average_temp_K,CIN_NOx_ppm,CIN_CO_ppm,CIN_THC_ppm,CIN_particulate_mass_mg_m3,CIG_ignition_timing_CAD_BTDC,CIG_ignition_delay_CAD,CIG_indicated_thermal_efficiency,CIG_injection_duration,CIG_peak_pressure_bar,CIG_peak_HRR_J_deg,CIG_max_average_temp_K,CIG_NOx_ppm,CIG_CO_ppm,CIG_THC_ppm,CIG_particulate_mass_mg_m3,2_EHN_dosage_ppm,CID_injection_timing_CAD_BTDC,CID_ignition_timing_CAD_BTDC,CID_ignition_delay_CAD,CID_indicated_thermal_efficiency,CID_injection_duration,CID_peak_pressure_bar,CID_peak_HRR_J_deg,CID_max_average_temp_K,CID_NOx_ppm,CID_CO_ppm,CID_THC_ppm,CID_particulate_mass_mg_m3
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",Dodecane,,,Alkane,489.0,,,745.0,1.39,,,,Compression Ignition,1200,600,,7.5,3.71767440197375,,,,,,810.033798601615,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",Tetradecane,,,Alkane,527.0,,,758.0,2.11,,,,Compression Ignition,1200,600,,7.5,3.49045660957557,,,,,,814.170902242059,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",Hexadecane,,,Alkane,560.0,,,770.0,3.06,,,,Compression Ignition,1200,600,,7.5,3.5213930704044,,,,,,829.596996826543,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",1-Octene,,,Alkene,394.0,,,711.0,0.45,,,,Compression Ignition,1200,600,,7.5,6.065,,,,,,1208.02007275729,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",1-Decene,,,Alkene,444.0,,,737.0,0.76,,,,Compression Ignition,1200,600,,7.5,4.9145,,,,,,1009.02887071389,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",1-Octanol,,,Alcohol,468.0,,,823.0,7.49,,,,Compression Ignition,1200,600,,7.5,7.067,,,,,,1016.18075801749,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",2-Octanol,,,Alcohol,453.0,,,817.0,7.41,,,,Compression Ignition,1200,600,,7.5,7.88427046057111,,,,,,954.104853066384,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",3-Octanol,,,Alcohol,448.0,,,818.0,6.9,,,,Compression Ignition,1200,600,,7.5,7.947,,,,,,870.642277089656,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",1-Octen-3-ol,,,Alcohol,448.0,,,830.0,,,,,Compression Ignition,1200,600,,7.5,10.378,,,,,,56.6729554589451,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koivisto, Ladommatos, Gold - 2015 - Systematic study of the effect of the hydroxyl functional group in alcohol molecules",1-Nonanol,,,Alcohol,486.0,,,824.0,9.85,,,,Compression Ignition,1200,600,,7.5,6.13565043536212,,,,,,843.324131169534,,,,,,,,,,,,,,,,,,,,,,,,,,,
