test_type,result_id,test_id,peak_pressure_bar,peak_HRR_J_deg,max_average_temp_K,NOx_ppm,CO_ppm,THC_ppm,particulate_mass_mg_m3,fuel_id,engine_id,injection_timing_CAD_BTDC,ignition_delay_CAD,indicated_thermal_efficiency,injection_duration,engine_type,engine_speed,injection_pressure_bar,IMEP_bar,fuel_name,fuel_type,feedstock_type,is_biodiesel,source_id,boiling_point,melting_point,flash_point_C,density_kg_m3,dynamic_viscosity_at_20,dynamic_viscosity_at_60,lower_heating_value_MJ_kg,cetane_number,ignition_timing_CAD_BTDC
constant_injection_timing,55,55,,,,,,,,55,1,7.5,7.5,42.15,615.0,fd-rh diesel,1200.0,450.0,4.0,75.0% 1-octene/25.0% n-octane,1-octene and n-octane blend,,N,3,,,,,,,,,
constant_injection_timing,56,56,,,,,,,,56,1,7.5,7.7,42.59,618.0,fd-rh diesel,1200.0,450.0,4.0,87.5% 1-octene/12.5% n-octane,1-octene and n-octane blend,,N,3,,,,,,,,,
constant_injection_timing,57,57,,,,,,,,57,1,7.5,7.9,42.31,617.0,fd-rh diesel,1200.0,450.0,4.0,95.5% 1-octene/4.5% n-octane,1-octene and n-octane blend,,N,3,,,,,,,,,
constant_injection_timing,58,58,,,,,,,,58,1,7.5,8.1,42.24,617.0,fd-rh diesel,1200.0,450.0,4.0,1-octene,alkene,,N,3,394.5,170.6,,714.9,0.47,,44.56,40.8,
constant_injection_timing,59,59,,,,,,,,59,1,7.5,5.9,41.9,619.0,fd-rh diesel,1200.0,450.0,4.0,n-octane,alkane,,N,3,398.9,216.3,,702.8,0.546,,44.79,64.1,
constant_injection_timing,60,60,,,,,,,,60,1,7.5,5.7,41.89,619.0,fd-rh diesel,1200.0,450.0,4.0,50.0% 1-octene/50.0% n-octane,1-octene and n-octane blend,,N,3,,,,,,,,,
constant_injection_timing,61,61,,,,,,,,61,1,7.5,6.1,41.79,620.0,fd-rh diesel,1200.0,450.0,4.0,1-octene,alkene,,N,3,394.5,170.6,,714.9,0.47,,44.56,40.8,
constant_injection_timing,62,62,,132.0,,677.0,433.0,192.0,0.37,62,4,,4.9,,,"a single cylinder, direct injection compression ignition research engine.",,,,Reference Diesel,,,Non-biofuel,4,,,,0.835,,,,,
constant_injection_timing,63,63,,44.0,,301.0,742.0,427.0,0.79,63,4,,5.2,,,"a single cylinder, direct injection compression ignition research engine.",,,,SCG Oil,,,Biofuel,4,,,,,,,,,
constant_injection_timing,64,64,,107.0,,572.0,417.0,189.0,0.41,64,4,,5.0,,,"a single cylinder, direct injection compression ignition research engine.",,,,SCG B7,,,Biofuel,4,,,,,,,,,
constant_injection_timing,65,65,,110.0,,670.0,401.0,236.0,0.36,65,4,,4.4,,,"a single cylinder, direct injection compression ignition research engine.",,,,SCG B20,,,Biofuel,4,,,,0.856,,,,,
constant_injection_timing,66,66,,72.0,,570.0,434.0,210.0,0.48,66,4,,4.2,,,"a single cylinder, direct injection compression ignition research engine.",,,,SCG B100,,,Biofuel,4,,,,0.892,,,,,
constant_injection_timing,67,67,,106.0,,585.0,368.0,217.0,0.43,67,4,,4.4,,,"a single cylinder, direct injection compression ignition research engine.",,,,Rapeseed B7,,,Biofuel,4,,,,,,,,,
constant_injection_timing,68,68,,91.0,,592.0,409.0,194.0,0.42,68,4,,4.2,,,"a single cylinder, direct injection compression ignition research engine.",,,,Rapeseed B20,,,Biofuel,4,,,,,,,,,
constant_injection_timing,69,69,,63.0,,682.0,330.0,189.0,0.22,69,4,,3.6,,,"a single cylinder, direct injection compression ignition research engine.",,,,Rapeseed B100,,,Biofuel,4,,,,,,,,,
constant_injection_timing,70,70,,114.0,,601.0,398.0,172.0,0.37,70,4,,4.6,,,"a single cylinder, direct injection compression ignition research engine.",,,,Soya B7,,,Biofuel,4,,,,,,,,,
constant_injection_timing,71,71,,110.0,,647.0,402.0,194.0,0.35,71,4,,4.4,,,"a single cylinder, direct injection compression ignition research engine.",,,,Soya B20,,,Biofuel,4,,,,,,,,,
constant_injection_timing,72,72,,85.0,,735.0,349.0,255.0,0.32,72,4,,4.2,,,"a single cylinder, direct injection compression ignition research engine.",,,,Soya B100,,,Biofuel,4,,,,,,,,,
constant_injection_timing,73,73,,,,,,,,73,5,,7.4,,,a single cylinder direct injection diesel engine,,,,Reference fossil diesel,,,,5,542.0,,,0.8345,,,,51.7,
constant_injection_timing,74,74,,94.0,1377.0,577.0,,,0.57,74,5,,7.4,,,a single cylinder direct injection diesel engine,,,,n-heptane,,,Non-biofuels,5,371.5,,,0.6838,,,,54.4,
constant_injection_timing,75,75,,78.0,1348.0,528.0,,,0.61,75,5,,7.0,,,a single cylinder direct injection diesel engine,,,,n-octane,,,Non-biofuels,5,398.7,,,0.7028,,,,64.1,
constant_injection_timing,76,76,,,,,,,,76,5,,6.3,,,a single cylinder direct injection diesel engine,,,,n-decane,,,Non-biofuels,5,447.2,,,0.7301,,,,76.7,
constant_injection_timing,77,77,,74.0,1384.0,607.0,,,0.69,77,5,,5.8,,,a single cylinder direct injection diesel engine,,,,n-undecane,,,Non-biofuels,5,468.0,,,0.7402,,,,81.1,
constant_injection_timing,78,78,,72.0,1374.0,577.0,,,1.29,78,5,,5.6,,,a single cylinder direct injection diesel engine,,,,n-dodecane,,,Non-biofuels,5,489.0,,,0.749,,,,82.5,
constant_injection_timing,79,79,,68.0,1358.0,532.0,,,1.26,79,5,,5.1,,,a single cylinder direct injection diesel engine,,,,n-tetradecane,,,Non-biofuels,5,523.0,,,0.7627,,,,95.0,
constant_injection_timing,80,80,,70.0,1385.0,548.0,,,1.25,80,5,,4.8,,,a single cylinder direct injection diesel engine,,,,n-pentadecane,,,Non-biofuels,5,540.0,,,0.7684,,,,96.0,
constant_injection_timing,81,81,,60.0,1339.0,524.0,,,1.29,81,5,,4.9,,,a single cylinder direct injection diesel engine,,,,n-hexadecane,,,Non-biofuels,5,554.0,,,0.7733,,,,96.0,
constant_injection_timing,82,82,,67.0,1361.0,522.0,,,1.2,82,5,,4.4,,,a single cylinder direct injection diesel engine,,,,n-octadecane,,,Non-biofuels,5,589.3,,,0.7767,,,,106.3,
constant_injection_timing,83,83,,63.0,1365.0,582.0,,,1.43,83,5,,4.3,,,a single cylinder direct injection diesel engine,,,,n-eicosane,,,Non-biofuels,5,616.2,,,0.7823,,,,110.0,
constant_injection_timing,84,84,,58.0,1359.0,577.0,,,1.13,84,5,,4.3,,,a single cylinder direct injection diesel engine,,,,n-docosane,,,Non-biofuels,5,641.8,,,0.7782,,,,,
constant_injection_timing,85,85,,92.0,1358.0,733.0,,,1.83,85,5,,9.0,,,a single cylinder direct injection diesel engine,,,,1-octene,,,Non-biofuels,5,395.0,,,0.7149,,,,70.8,
constant_injection_timing,86,86,,94.0,1397.0,1066.0,,,0.48,86,5,,13.0,,,a single cylinder direct injection diesel engine,,,,"1, 7-octadiene",,,Non-biofuels,5,389.0,,,,,,,,
constant_injection_timing,87,87,,,,,,,,87,5,,7.8,,,a single cylinder direct injection diesel engine,,,,1-decene,,,Non-biofuels,5,440.0,,,0.7408,,,,56.5,
constant_injection_timing,88,88,,83.0,1357.0,647.0,,,0.71,88,5,,7.0,,,a single cylinder direct injection diesel engine,,,,1-dodecene,,,Non-biofuels,5,486.2,,,0.7584,,,,71.2,
constant_injection_timing,89,89,,77.0,1344.0,540.0,,,0.98,89,5,,6.0,,,a single cylinder direct injection diesel engine,,,,1-tetradecene,,,Non-biofuels,5,524.2,,,0.775,,,,80.3,
constant_injection_timing,90,90,,68.0,1360.0,496.0,,,1.7,90,5,,5.0,,,a single cylinder direct injection diesel engine,,,,8-methyl-hexadecane,,,Non-biofuels,5,587.9,,,,,,,,
constant_injection_timing,91,91,,67.0,1371.0,575.0,,,0.92,91,5,,6.0,,,a single cylinder direct injection diesel engine,,,,"2, 6, 10, 14-tetra-metyl-pentadecane",,,Non-biofuels,5,439.2,,,0.7827,,,,,
constant_injection_timing,92,92,62.0,155.8,1414.56310679611,622.6,532.710018162934,326.335763261649,0.0011214308307213,92,6,7.5,7.2,42.97,602.0,compression ignition,1200.0,450.0,,Diesel,,Fossil Diesel,,6,,,66.5,834.5,3.41,1.72,43.14,51.7,
constant_injection_timing,93,93,53.0,46.3,1325.87378640776,249.8,898.1,570.7,0.313649826034447,93,6,7.5,6.9,41.1,737.0,compression ignition,1200.0,450.0,,Algal,,Vegetable Oil,,6,,,220.0,912.0,79.87,18.7,35.8,-,
constant_injection_timing,94,94,52.0,45.1,1316.35922330097,234.9,1018.6,566.8,0.437335020272018,94,6,7.5,7.7,37.07,752.0,compression ignition,1200.0,450.0,,Corn,,Vegetable Oil,,6,,,277.0,916.7,66.57,16.7,39.5,37.6,
constant_injection_timing,95,95,52.3,47.2,1319.75728155339,242.5,950.9,613.4,0.341633838456451,95,6,7.5,7.1,36.5,746.0,compression ignition,1200.0,450.0,,Groundnut,,Vegetable Oil,,6,,,271.0,902.6,86.7,19.87,39.8,41.8,
constant_injection_timing,96,96,52.1,47.5,1311.60194174757,239.1,889.9,592.7,0.265899876355062,96,6,7.5,6.9,39.94,747.0,compression ignition,1200.0,450.0,,Palm,,Vegetable Oil,,6,,,330.0,910.0,87.67,19.4,36.54,42.0,
constant_injection_timing,97,97,51.2,45.5,1301.06796116504,225.6,1040.7,545.2,0.495954222618397,97,6,7.5,7.7,36.87,764.0,compression ignition,1200.0,450.0,,Rapeseed,,Vegetable Oil,,6,,,246.0,914.5,73.97,18.0,39.7,37.6,
constant_injection_timing,98,98,52.9,46.3,1308.88349514563,234.2,996.5,541.3,0.465083244673203,98,6,7.5,7.7,37.21,760.0,compression ignition,1200.0,450.0,,Soybean,,Vegetable Oil,,6,,,254.0,918.5,71.9,17.6,39.6,37.9,
constant_injection_timing,99,99,53.8,46.2,1313.30097087378,236.4,992.7,561.0,0.475762716738073,99,6,7.5,7.5,37.27,756.0,compression ignition,1200.0,450.0,,Sunflower,,Vegetable Oil,,6,,,274.0,916.9,69.5,17.2,39.6,37.1,
constant_injection_timing,100,100,,65.0,1481.0,1359.2,,,0.0196341463414634,100,7,7.5,5.3,49.4,,compression ignition,1200.0,600.0,,Heptane,,Alkane,,7,372.0,,,682.0,0.39,,45.0,,
constant_injection_timing,101,101,,60.5,1450.0,1135.3,,,0.0220731707317073,101,7,7.5,5.1,41.4,,compression ignition,1200.0,600.0,,Nonane,,Alkane,,7,424.0,,,715.0,0.67,,45.0,,
constant_injection_timing,102,102,,52.4,1453.0,1069.2,,,0.0223714896511514,102,7,7.5,4.7,40.9,,compression ignition,1200.0,600.0,,Decane,,Alkane,,7,447.0,,,730.0,0.86,,44.0,,
constant_injection_timing,103,103,,46.0,1476.0,1288.5,,,0.0205903216402681,103,7,7.5,4.5,44.5,,compression ignition,1200.0,600.0,,Dipentyl ether,,Ether,,7,460.0,,,785.0,1.61,,39.0,,
constant_injection_timing,104,104,,167.6,1506.0,1425.0,,,0.0100403264988825,104,7,7.5,6.9,28.5,,compression ignition,1200.0,600.0,,3-heptanone,,Ketone,,7,421.0,,,818.0,0.75,,36.0,,
constant_injection_timing,105,105,,131.0,1467.0,1128.7,,,0.0174390243902439,105,7,7.5,5.9,41.3,,compression ignition,1200.0,600.0,,5-nonane,,Ketone,,7,462.6,,,826.0,,,38.0,,
constant_injection_timing,106,106,,132.4,1548.0,1300.0,,,0.0149727917597901,106,7,7.5,8.0,44.3,,compression ignition,1200.0,600.0,,ethyl levulinate,,Levulinate,,7,480.0,,,1016.0,,,24.0,,
constant_injection_timing,107,107,,177.4,1516.0,1393.0,,,0.0103143523467107,107,7,7.5,7.4,33.7,,compression ignition,1200.0,600.0,,butyl levulinate,,Levulinate,,7,514.0,,,974.0,,,28.0,,
constant_injection_timing,108,108,,168.0,1529.0,1394.7,,,0.0151098046837042,108,7,7.5,7.8,44.0,,compression ignition,1200.0,600.0,,ethyle valerate,,Valerate,,7,420.0,,,875.0,8.47,,31.0,,
constant_injection_timing,109,109,,165.6,1502.0,1316.0,,,0.0140137012923914,109,7,7.5,7.2,47.9,,compression ignition,1200.0,600.0,,butyl valerate,,Valerate,,7,462.0,,,868.0,,,33.0,,
constant_injection_timing,110,110,,152.2,1496.0,1289.4,,,0.0129175979010786,110,7,7.5,6.6,49.1,,compression ignition,1200.0,600.0,,pentyl valerate,,Valerate,,7,481.0,,,865.0,,,34.0,,
constant_injection_timing,111,111,,,,839.376660904564,,,,111,7,7.5,4.50815604104838,,,compression ignition,1200.0,600.0,,Octane,,Alkane,,8,399.0,,,699.0,0.51,,,,
constant_injection_timing,112,112,,,,786.902396862664,,,,112,7,7.5,4.25240461973039,,,compression ignition,1200.0,600.0,,Nonane,,Alkane,,8,424.0,,,715.0,0.67,,,,
constant_injection_timing,113,113,,,,777.683892773291,,,,113,7,7.5,3.89328136732577,,,compression ignition,1200.0,600.0,,Decane,,Alkane,,8,447.0,,,728.0,0.86,,,,
constant_injection_timing,114,114,,,,764.703681725534,,,,114,7,7.5,3.84432366717917,,,compression ignition,1200.0,600.0,,Undecane,,Alkane,,8,469.0,,,737.0,1.1,,,,
constant_injection_timing,115,115,,,,810.033798601615,,,,115,7,7.5,3.71767440197375,,,compression ignition,1200.0,600.0,,Dodecane,,Alkane,,8,489.0,,,745.0,1.39,,,,
constant_injection_timing,116,116,,,,814.170902242059,,,,116,7,7.5,3.49045660957557,,,compression ignition,1200.0,600.0,,Tetradecane,,Alkane,,8,527.0,,,758.0,2.11,,,,
constant_injection_timing,117,117,,,,829.596996826543,,,,117,7,7.5,3.5213930704044,,,compression ignition,1200.0,600.0,,Hexadecane,,Alkane,,8,560.0,,,770.0,3.06,,,,
constant_injection_timing,118,118,,,,1208.02007275729,,,,118,7,7.5,6.065,,,compression ignition,1200.0,600.0,,1-Octene,,Alkene,,8,394.0,,,711.0,0.45,,,,
constant_injection_timing,119,119,,,,1009.02887071389,,,,119,7,7.5,4.9145,,,compression ignition,1200.0,600.0,,1-Decene,,Alkene,,8,444.0,,,737.0,0.76,,,,
constant_injection_timing,120,120,,,,1016.18075801749,,,,120,7,7.5,7.067,,,compression ignition,1200.0,600.0,,1-Octanol,,Alcohol,,8,468.0,,,823.0,7.49,,,,
constant_injection_timing,121,121,,,,954.104853066384,,,,121,7,7.5,7.88427046057111,,,compression ignition,1200.0,600.0,,2-Octanol,,Alcohol,,8,453.0,,,817.0,7.41,,,,
