,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paper,name,fuel_type,is_biofuel,density_at_15_kg_m3,density_at_20_kg_m3,density_at_25_kg_m3,density_at_60_kg_m3,dynamic_viscosity_at_20_mPa_s,dynamic_viscosity_at_25_mPa_s,dynamic_viscosity_at_60_mPa_s,kinematic_viscosity_at_20_cST,kinematic_viscosity_at_40_cST,lower_heating_value_MJ_kg,D(CN),measurement_type,injection_timing_CAD_BTDC,ignition_delay_CAD,YSI,total_particulate_mass_concentration_mg_m2,C8:0,C10:0,C12:0,C14:0,C16:0,C18:0,C18:1,C18:2,C18:3,C16:1,Reference fossil diesel,farnesene,geranial,toluene,n-heptane,1-octene,n-octane,C18:3n6,C18:3n3,C20:1,other,C16,C18
"Hellier, Ladommatos, Yusaf - 2015 - The influence of straight vegetable oil fatty acid compositionÂ ",Algal,Vegetable Oil,Y,,912.0,,,79.87,,18.7,,,35.8,-,CVCA,7.5,6.9,,0.313649826034447,,,,,0.51,0.02,0.39,0.07,,,,,,,,,,,,,0.01,,
"Hellier, Ladommatos, Yusaf - 2015 - The influence of straight vegetable oil fatty acid compositionÂ ",Corn,Vegetable Oil,Y,,916.7,,,66.57,,16.7,,,39.5,37.6,CVCA,7.5,7.7,,0.437335020272018,,,,,,,,,,,,,,,,,,,,,,0.01,0.04
"Hellier, Ladommatos, Yusaf - 2015 - The influence of straight vegetable oil fatty acid compositionÂ ",Groundnut,Vegetable Oil,Y,,902.6,,,86.7,,19.87,,,39.8,41.8,CVCA,7.5,7.1,,0.341633838456451,,,,,,,,,,,,,,,,,,,,,,0.01,0.05
"Hellier, Ladommatos, Yusaf - 2015 - The influence of straight vegetable oil fatty acid compositionÂ ",Palm,Vegetable Oil,Y,,910.0,,,87.67,,19.4,,,36.54,42,CVCA,7.5,6.9,,0.265899876355062,,,,,,,,,,,,,,,,,,,,,,0.01,0.06
"Hellier, Ladommatos, Yusaf - 2015 - The influence of straight vegetable oil fatty acid compositionÂ ",Rapeseed,Vegetable Oil,Y,,914.5,,,73.97,,18.0,,,39.7,37.6,CVCA,7.5,7.7,,0.495954222618397,,,,,,,,,,,,,,,,,,,,,,0.01,0.07
"Hellier, Ladommatos, Yusaf - 2015 - The influence of straight vegetable oil fatty acid compositionÂ ",Soybean,Vegetable Oil,Y,,918.5,,,71.9,,17.6,,,39.6,37.9,CVCA,7.5,7.7,,0.465083244673203,,,,,,,,,,,,,,,,,,,,,,0.01,0.08
"Hellier, Ladommatos, Yusaf - 2015 - The influence of straight vegetable oil fatty acid compositionÂ ",Sunflower,Vegetable Oil,Y,,916.9,,,69.5,,17.2,,,39.6,37.1,CVCA,7.5,7.5,,0.475762716738073,,,,,,,,,,,,,,,,,,,,,,0.01,0.09
Compression ignition and pollutant emissions of large alkylbenzenes,Toluene+Hexane,Alkane/Aromatic Mix,N,,,692.0,,,,,,,,,,7.5,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
Compression ignition and pollutant emissions of large alkylbenzenes,Toluene+Heptane,Alkane/Aromatic Mix,N,,,720.0,,,,,,,,,,7.5,6.3,,,,,,,,,,,,,,,,,,,,,,,,,
Compression ignition and pollutant emissions of large alkylbenzenes,Toluene+Undecane,Alkane/Aromatic Mix,N,,,783.0,,,,,,,,,,7.5,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
