names,SMILES
"1,2,4-Trimethylbenzene",CC1=CC(=C(C=C1)C)C
Methylcyclopentane,CC1CCCC1
1-Methyl-4-(1-methylethyl)benzene,CC1=CC=C(C=C1)C(C)C
"4,7,7-trimethylbicyclo[4.1.0]hept-3-ene",CC1=CCC2C(C1)C2(C)C
4-methylene-1-(1-methylethyl)bicyclo[3.1.0]hexane,CC(C)C12CCC(=C)C1C2
"6,6-dimethyl-2-methylenebicyclo[3.1.1]heptane",CC1(C2CCC(=C)C1C2)C
2-Nonanol,CCCCCCCC(C)O
Phenylmethanol,C1=CC=C(C=C1)CO
4-Methylheptan-3-ol,CCCC(C)C(CC)O
1-Octanol,CCCCCCCCO
4-Methylpentan-2-ol,CC(C)CC(C)O
3-Methylbut-3-en-1-ol,CC(=C)CCO
4-Methylhexan-3-ol,CCC(C)C(CC)O
4-Methyl-1-hexanol,CCC(C)CCCO
"hexane-2,3-diol",CCCC(C(C)O)O
"3,7-dimethyloct-6-en-1-ol",CC(CCC=C(C)C)CCO
1-methyl-4-propan-2-yl-7-oxabicyclo[2.2.1]heptane,CC(C)C12CCC(O1)(CC2)C
Dimethoxymethylbenzene,COC(C1=CC=CC=C1)OC
4-Methyl-2-(2-methyl-1-propen-1-yl)tetrahydro-2H-pyran,CC1CCOC(C1)C=C(C)C
Methyl benzoate,COC(=O)C1=CC=CC=C1
Ethyl 2-methylpropanoate,CCOC(=O)C(C)C
Methyl-2-methylbutanoate,CCC(C)C(=O)OC.CCC(C)C(=O)OC
Butyl acetate,CCCCOC(=O)C
3-Methylbutyl acetate,CC(C)CCOC(=O)C
"2-pentyl-2,3-dihydropyran-6-one",CCCCCC1CC=CC(=O)O1
10-Methyldodecyl acetate,CCC(C)CCCCCCCCCOC(=O)C
"2,4-Dimethyl-5-hexanolide",CC1CC(C(=O)OC1C)C
(Z)-octadec-11-enyl acetate,CCCCCCC=CCCCCCCCCCCOC(=O)C
"2,6-Dimethyloctane",CCC(C)CCCC(C)C
1-methyl-4-propan-2-ylcyclohexane,CC1CCC(CC1)C(C)C
1-Isopropyl-4-methylbicyclo[3.1.0]hexane,CC1CCC2(C1C2)C(C)C
"4-Isopropyl-1,6-dimethyldecahydronaphthalene",CC1CCC2C(CCC(C2C1)C(C)C)C
"1,7,7-trimethylbicyclo[2.2.1]heptane",CC1(C2CCC1(CC2)C)C
Ethylbenzene,CCC1=CC=CC=C1
Propylbenzene,CCCC1=CC=CC=C1
Butylbenzene,CCCCC1=CC=CC=C1
"3,7-Dimethyl-1-octanol",CC(C)CCCC(C)CCO
Decane,CCCCCCCCCC
Hexyl acetate,CCCCCCOC(=O)C
2-Methylbutan-2-ol,CCC(C)(C)O
3-Methylbutan-1-ol,CC(C)CCO
"2,2,6-Trimethylcyclohexan-1-one",CC1CCCC(C1=O)(C)C
6-Methylheptan-2-ol,CC(C)CCCC(C)O
(1-methylethyl)benzene,CC(C)C1=CC=CC=C1
"2,3,6-Trimethylheptane",CC(C)CCC(C)C(C)C
"1,1,3-Trimethylcyclohexane",CC1CCCC(C1)(C)C
2-Propanol,CC(C)O
Ethanol,CCO
"2,4,4-Trimethyl-1-pentene",CC(=C)CC(C)(C)C
2-Methyl-3-buten-2-ol,CC(C)(C=C)O
"3,7-Dimethyl-3-octanol",CCC(C)(CCCC(C)C)O
2-Methylpropyl acetate,CC(C)COC(=O)C
1-Methylethyl acetate,CC(C)OC(=O)C
"2,4-Dimethyl-1-heptene",CCCC(C)CC(=C)C
"3,7-dimethyl-2,6-Octadien-1-ol","CC(=CCCC(=CCO)C)C
CC(=CCCC(=CCO)C)C
CC(=CCCC(=CCO)C)C"
6-pentyl-2H-Pyran-2-one,CCCCCC1=CC=CC(=O)O1
3-Octanone,CCCCCC(=O)CC
"2,2,5,5-tetramethyl-3-hexanone",CC(C)(C)CC(=O)C(C)(C)C
3-Methyl-2-hexanone,CCCC(C)C(=O)C
3-Methyl-2-heptanone,CCCCC(=O)C(C)C
"3,5-Dimethyl-2-hexanone",CC(C)CC(C)C(=O)C
4-Methyl-3-heptanone,CCCC(C)C(=O)CC
4-Methyl-3-octanone,"CCCCC(C)C(=O)CC
CCCCC(C)C(=O)CC"
"4,6-Dimethyl-3-heptanone",CCC(=O)C(C)CC(C)C
2-Methyl-1-pentanol,CCCC(C)CO
2-Methyl-1-hexanol,CCCCC(C)CO
Cyclohexanone,C1CCC(=O)CC1
"2,4-Dimethyl-1-pentanol",CC(C)CC(C)CO
3-Methyl-2-butanone,CC(C)C(=O)C
3-Methyl-2-pentanone,CCC(C)C(=O)C
4-Methyl-3-hexanone,CCC(C)C(=O)CC
5-Methyl-3-hexanone,CCC(=O)CC(C)C
5-Methyl-1-hexanol,CC(C)CCCCO
1-Hexanol,CCCCCCO
4-Methyl-1-pentanol,CC(C)CCCO
6-Hepten-3-one,CCC(=O)CCC=C
1-Hexen-3-one,CCCC(=O)C=C
1-Penten-3-one,CCC(=O)C=C
1-Methoxy-3-methyl-benzene,CC1=CC(=CC=C1)OC
"1,1,3-trimethylcyclopentane",CC1CCC(C1)(C)C
"1,5,5-trimethylcyclopentene",CC1=CCCC1(C)C
propyl acetate,CCCOC(=O)C
"1,3,5-Trimethylbenzene",CC1=CC(=CC(=C1)C)C
"Pentanoic acid, methyl ester",CCCCC(=O)OC
2-Propanone,CC(=O)C
Methanol,CO
"2,4-Xylenol",CC1=CC(=C(C=C1)O)C
"3,5-Xylenol",CC1=CC(=CC(=C1)O)C
