rank,smiles,cn,cn_error,cn_score,ysi,chemical_valid,chemical_flags,ood_warning,confidence_score,mixture_dcn,blend_ratio,ad_score,in_domain,mixture_ysi
25,CC(O)COCCCCC=O,53.7169499531233,1.2830500468767028,53.7169499531233,38.367212199090936,True,OK,False,100.0,53.7169499531233,0.3,0.09610675863515161,True,38.367212199090936
26,CCCCC(C)(C)OC,56.30431152028846,1.3043115202884579,56.30431152028846,42.66791799335367,True,OK,False,100.0,56.30431152028846,0.3,0.09053276421056333,True,42.66791799335367
27,CC(C)C(C)CCOCCO,53.48932531240001,1.5106746875999875,53.48932531240001,45.85250057871903,True,OK,False,100.0,53.48932531240001,0.3,0.15993513839398832,True,45.85250057871903
28,CCCOC(=O)CCCCOC,56.550991841939265,1.5509918419392648,56.550991841939265,40.984806802737324,True,OK,False,100.0,56.550991841939265,0.3,0.07243711342585124,True,40.984806802737324
29,CC(C)OCCO,53.077883564008644,1.9221164359913558,53.077883564008644,34.384351245382035,True,OK,False,100.0,53.077883564008644,0.3,0.12448368956399336,True,34.384351245382035
30,CCCC(C)CCOCCO,57.29502902205498,2.295029022054983,57.29502902205498,43.77856194934898,True,OK,False,100.0,57.29502902205498,0.3,0.15098391706997427,True,43.77856194934898
31,CCOC(=O)CCCCCOC,57.83355153774041,2.833551537740412,57.83355153774041,41.292104946778,True,OK,False,100.0,57.83355153774041,0.3,0.07558788582660458,True,41.292104946778
32,CCC(C)OC,58.01669956240166,3.016699562401662,58.01669956240166,35.723562172613,True,OK,False,100.0,58.01669956240166,0.3,0.022526603105339937,True,35.723562172613
33,COCOCC(C)O,58.08685096432389,3.0868509643238866,58.08685096432389,31.860903827054823,True,OK,False,100.0,58.08685096432389,0.3,0.03739806103959753,True,31.860903827054823
34,CCOCC(C)O,51.668218665144124,3.331781334855876,51.668218665144124,33.60025045333131,True,OK,False,100.0,51.668218665144124,0.3,0.12415921825395992,True,33.60025045333131
35,CC(=O)CCCCOCC(C)O,51.58868603737393,3.4113139626260676,51.58868603737393,42.061815866327706,True,OK,False,100.0,51.58868603737393,0.3,0.1138791102881328,True,42.061815866327706
36,CCCCCOC(=O)CCC,51.189582242915684,3.8104177570843163,51.189582242915684,43.35724871113105,True,OK,False,100.0,51.189582242915684,0.3,0.054482197334721705,True,43.35724871113105
37,CCOCC(C)C,58.931329000884624,3.931329000884624,58.931329000884624,37.36213943480442,True,OK,False,100.0,58.931329000884624,0.3,0.08075947622986346,True,37.36213943480442
38,COCCOCC(C)O,59.40450183121351,4.4045018312135085,59.40450183121351,32.90793059115916,True,OK,False,100.0,59.40450183121351,0.3,0.07407063801789038,True,32.90793059115916
39,CC(C)CCOC(C)C,59.48086343447568,4.48086343447568,59.48086343447568,43.117837283087994,True,OK,False,100.0,59.48086343447568,0.3,0.10253037813328014,True,43.117837283087994
40,C=CCCCCCC(=O)CC,50.33108528245034,4.6689147175496615,50.33108528245034,48.900043504390574,True,OK,False,100.0,50.33108528245034,0.3,0.046755880507375114,True,48.900043504390574
41,CCCCCCCCCO,50.221899760737465,4.778100239262535,50.221899760737465,45.292908816325124,True,OK,False,100.0,50.221899760737465,0.3,0.04645106348925565,True,45.292908816325124
42,COCCO,49.01014718930089,5.989852810699112,49.01014718930089,32.670739575773396,True,OK,False,100.0,49.01014718930089,0.3,0.08509281346789666,True,32.670739575773396
43,COCCOCCO,61.07464658110043,6.074646581100431,61.07464658110043,31.12924371895729,True,OK,False,100.0,61.07464658110043,0.3,0.019589018914542677,True,31.12924371895729
44,CCCC(C)(C)CC,48.76876872640034,6.231231273599661,48.76876872640034,45.10340051620061,True,OK,False,100.0,48.76876872640034,0.3,0.031309137645105456,True,45.10340051620061
45,C=CCCCC(=O)OCCC,48.73216886630381,6.267831133696191,48.73216886630381,41.89477899032593,True,OK,False,100.0,48.73216886630381,0.3,0.02911572864152434,True,41.89477899032593
46,CCCOC(=O)CCC,48.72547539928182,6.2745246007181805,48.72547539928182,37.66180197878782,True,OK,False,100.0,48.72547539928182,0.3,0.017188403977692945,True,37.66180197878782
47,CCCCC(=O)OCC(C)C,48.70037652407073,6.299623475929273,48.70037652407073,42.89190149270843,True,OK,False,100.0,48.70037652407073,0.3,0.06551156945890335,True,42.89190149270843
48,CC(O)CCCCCCC=O,48.19510810185379,6.804891898146209,48.19510810185379,43.72209698866114,True,OK,False,100.0,48.19510810185379,0.3,0.049108805274923006,True,43.72209698866114
49,CCOCCOCC(C)O,61.80608756163482,6.806087561634818,61.80608756163482,34.2427061313402,True,OK,False,100.0,61.80608756163482,0.3,0.09218944614602254,True,34.2427061313402
50,CC(COC)O,47.7969196818613,7.203080318138703,47.7969196818613,32.6304520129776,True,OK,False,100.0,47.7969196818613,0.3,0.11763571546322926,True,32.6304520129776
51,COCC(C)O,47.796919154470594,7.203080845529406,47.796919154470594,32.6304520129776,True,OK,False,100.0,47.796919154470594,0.3,0.11763571400512096,True,32.6304520129776
52,COC(C)(C)CCO,47.535979418754025,7.4640205812459754,47.535979418754025,36.97955036466456,True,OK,False,100.0,47.535979418754025,0.3,0.01773364061580973,True,36.97955036466456
53,CCCC(=O)OCC(C)C,47.45029372363683,7.5497062763631675,47.45029372363683,40.80953598881589,True,OK,False,100.0,47.45029372363683,0.3,0.06126693527564153,True,40.80953598881589
