Name,mixture_components,fuel_type,ignition_delay_CAD,fuel_1,fraction_fuel_1,fuel_2,fraction_fuel_2,fuel_3,fraction_fuel_3,fuel_4,fraction_fuel_4,fuel_5,fraction_fuel_5,fuel_6,fraction_fuel_6,fuel_7,fraction_fuel_7,fuel_8,fraction_fuel_8,fuel_9,fraction_fuel_9,fuel_10,fraction_fuel_10,fuel_11,fraction_fuel_11,CN_Measured,CN_Regression,YSI_Unified_Measured,YSI_Unified_Regression,fuel_type_smiles,fuel_1_smiles,fuel_2_smiles,fuel_3_smiles,fuel_4_smiles,fuel_5_smiles,fuel_6_smiles,fuel_7_smiles,fuel_8_smiles,fuel_9_smiles,fuel_10_smiles,fuel_11_smiles
Palm,"C16:0:0, C16:1:0, C18:0:0, C18:1:0, C18:2:0, C18:6:0, other:0",Other (SVO),6.9,C16:0,0,C16:1,0,C18:0,0,C18:1,0,C18:2,0,C18:6,0,other,0,,,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,,,,,,
Rapeseed,"C16:0:0, C16:1:0, C18:0:0, C18:1:0, C18:2:0, C18:7:0, other:0",Other (SVO),7.7,C16:0,0,C16:1,0,C18:0,0,C18:1,0,C18:2,0,C18:7,0,other,0,,,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,,,,,,
Soybean,"C16:0:0, C16:1:0, C18:0:0, C18:1:0, C18:2:0, C18:8:0, other:0",Other (SVO),7.7,C16:0,0,C16:1,0,C18:0,0,C18:1,0,C18:2,0,C18:8,0,other,0,,,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,,,,,,
Sunflower,"C16:0:0, C16:1:0, C18:0:0, C18:1:0, C18:2:0, C18:9:0, other:0",Other (SVO),7.5,C16:0,0,C16:1,0,C18:0,0,C18:1,0,C18:2,0,C18:9,0,other,0,,,,,,,,,,,,,,CCCCCCCCCCCCCCCC(=O)O,,CCCCCCCCCCCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCCCCCCCC(=O)O,,,,,,
Furan 50% + RFD,"Furan: 50, RFD: 50",Other (Oxygenated lignocellulosic biofuel–diesel blends),,Furan,0.5,toluene,0.15,n-heptane,0.35,,,,,,,,,,,,,,,,,,,,,,C1=COC=C1,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
Methylfuran 50% + RFD,"Methylfuran : 50, RFD :50",Other (Oxygenated lignocellulosic biofuel–diesel blends),,Methylfuran,0.5,toluene,0.15,n-heptane,0.35,,,,,,,,,,,,,,,,,,,,,,CC1=CC=CO1,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
Dimethylfuran 50% + RFD,"Dimethylfuran :50, RFD : 50",Other (Oxygenated lignocellulosic biofuel–diesel blends),,Dimethylfuran,0.5,toluene,0.15,n-heptane,0.35,,,,,,,,,,,,,,,,,,,,,,CC1=C(OC=C1)C,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
ethylfuran 10% + n-butanol + RFD,"ethylfuran :10, n-butanol:20, RFD :70",Other (Oxygenated lignocellulosic biofuel–diesel blends),,ethylfuran,0.1,n-butanol,0.2,toluene,0.21,n-heptane,0.49,,,,,,,,,,,,,,,,,,,,,CCCCO,CC1=CC=CC=C1,CCCCCCC,,,,,,,
tetrahydrofuran 50% + RFD,"tetrahydrofuran : 50, RFD:50",Other (Oxygenated lignocellulosic biofuel–diesel blends),,tetrahydrofuran,0.5,toluene,0.15,n-heptane,0.35,,,,,,,,,,,,,,,,,,,,,,C1CCOC1,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
"2,3-dihydrofuran 50% + RFD","2,3-dihyfrofuran : 50, RFD : 50",Other (Oxygenated lignocellulosic biofuel–diesel blends),,3-dihyfrofuran,0.5,toluene,0.15,n-heptane,0.35,,,,,,,,,,,,,,,,,,,,,,,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
"2,5-dihydrofuran 50% + RFD","2,5-dihydrofuran :50, RFD:50",Other (Oxygenated lignocellulosic biofuel–diesel blends),,5-dihydrofuran,0.5,toluene,0.15,n-heptane,0.35,,,,,,,,,,,,,,,,,,,,,,,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
furfural 10% + n-butanol + RFD,"furfural :10, n-butanol:20, RFD:70",Other (Oxygenated lignocellulosic biofuel–diesel blends),,furfural,0.1,n-butanol,0.2,toluene,0.21,n-heptane,0.49,,,,,,,,,,,,,,,,,,,,C1=COC(=C1)C=O,CCCCO,CC1=CC=CC=C1,CCCCCCC,,,,,,,
furfuryl alcohol 10% + n-butanol + RFD,"furfuryl alcohol:10, n-butanol:20, RFD:70",Other (Oxygenated lignocellulosic biofuel–diesel blends),,furfuryl alcohol,0.1,n-butanol,0.2,toluene,0.21,n-heptane,0.49,,,,,,,,,,,,,,,,,,,,C1=COC(=C1)CO,CCCCO,CC1=CC=CC=C1,CCCCCCC,,,,,,,
acetylfuran 10% + n-butanol + RFD,"acetylfuran :10, n-butanol:20, RFD:70",Other (Oxygenated lignocellulosic biofuel–diesel blends),,acetylfuran,0.1,n-butanol,0.2,toluene,0.21,n-heptane,0.49,,,,,,,,,,,,,,,,,,,,CC(=O)C1=CC=CO1,CCCCO,CC1=CC=CC=C1,CCCCCCC,,,,,,,
methyl-tetrahydrofuran 50%  + RFD,"methyl-tetrahydrofuran :50, RFD:50",Other (Oxygenated lignocellulosic biofuel–diesel blends),,methyl-tetrahydrofuran,0.5,toluene,0.15,n-heptane,0.35,,,,,,,,,,,,,,,,,,,,,,CC1CCCO1,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
methyl-tetrahydrofuran-3-one 10% + n-butanol + RFD,"methyl-tetrahydrofuran-3-one :10, n-butanol:20, RFD:70",Other (Oxygenated lignocellulosic biofuel–diesel blends),,methyl-tetrahydrofuran-3-one,0.1,n-butanol,0.2,toluene,0.21,n-heptane,0.49,,,,,,,,,,,,,,,,,,,,,CCCCO,CC1=CC=CC=C1,CCCCCCC,,,,,,,
Dimethylfuran 10% + n-butanol + RFD,"Dimethylfuran :10, n-butanol:20, RFD:70",Other (Oxygenated lignocellulosic biofuel–diesel blends),,Dimethylfuran,0.1,n-butanol,0.2,toluene,0.21,n-heptane,0.49,,,,,,,,,,,,,,,,,,,,CC1=C(OC=C1)C,CCCCO,CC1=CC=CC=C1,CCCCCCC,,,,,,,
methyl-tetrahydrofuran 10% + n-butanol + RFD,"methyl-tetrahydrofuran :10, n-butanol:20, RFD:70",Other (Oxygenated lignocellulosic biofuel–diesel blends),,methyl-tetrahydrofuran,0.1,n-butanol,0.2,toluene,0.21,n-heptane,0.49,,,,,,,,,,,,,,,,,,,,CC1CCCO1,CCCCO,CC1=CC=CC=C1,CCCCCCC,,,,,,,
?-caprolactone 33% + butanol + RFD,"?-caprolactone :33, butanol:17, RFD:50",Other (Lactone-based oxygenated biofuel-diesel blends),,?-caprolactone,0.33,butanol,0.17,toluene,0.15,n-heptane,0.35,,,,,,,,,,,,,,,,,,,,,CCCCO,CC1=CC=CC=C1,CCCCCCC,,,,,,,
?-hexalactone 33% + butanol + RFD,"?-hexalactone :33, butanol:17, RFD:50",Other (Lactone-based oxygenated biofuel-diesel blends),,?-hexalactone,0.33,butanol,0.17,toluene,0.15,n-heptane,0.35,,,,,,,,,,,,,,,,,,,,,CCCCO,CC1=CC=CC=C1,CCCCCCC,,,,,,,
?-caprolactone 33% + butanol + RFD,"?-caprolactone :33, butanol:17, RFD:50",Other (Lactone-based oxygenated biofuel-diesel blends),,?-caprolactone,0.33,butanol,0.17,toluene,0.15,n-heptane,0.35,,,,,,,,,,,,,,,,,,,,,CCCCO,CC1=CC=CC=C1,CCCCCCC,,,,,,,
?-decalactone 33% + butanol + RFD,"?-decalactone :33, butanol:17, RFD:50",Other (Lactone-based oxygenated biofuel-diesel blends),,?-decalactone,0.33,butanol,0.17,toluene,0.15,n-heptane,0.35,,,,,,,,,,,,,,,,,,,,,CCCCO,CC1=CC=CC=C1,CCCCCCC,,,,,,,
Benzene + Heptane,"Benzene:0, Heptane:0",Other (Aromatic + Paraffinic),,Benzene,0,Heptane,0,,,,,,,,,,,,,,,,,,,,,,,,C1=CC=CC=C1,CCCCCCC,,,,,,,,,
Toluene + Heptane,"Toluene:0, Heptane:0",Other (Aromatic + Paraffinic),,Toluene,0,Heptane,0,,,,,,,,,,,,,,,,,,,,,,,,CC1=CC=CC=C1,CCCCCCC,,,,,,,,,
m-Xylene + Heptane,"m-Xylene:0, Heptane:0",Other (Aromatic + Paraffinic),,m-Xylene,0,Heptane,0,,,,,,,,,,,,,,,,,,,,,,,,CC1=CC(=CC=C1)C,CCCCCCC,,,,,,,,,
"1,3,5-trimethylbenzene + Heptane","1,3,5-trimethylbenzene:0, Heptane:0",Other (Aromatic + Paraffinic),,5-trimethylbenzene,0,Heptane,0,,,,,,,,,,,,,,,,,,,,,,,,,CCCCCCC,,,,,,,,,
Durene + Heptane,"Durene:0, Heptane:0",Other (Aromatic + Paraffinic),,Durene,0,Heptane,0,,,,,,,,,,,,,,,,,,,,,,,,CC1=CC(=C(C=C1C)C)C,CCCCCCC,,,,,,,,,
Benzaldehyde + Heptane,"Benzaldehyde:0, Heptane:0",Other (Aromatic + Paraffinic),,Benzaldehyde,0,Heptane,0,,,,,,,,,,,,,,,,,,,,,,,,C1=CC=C(C=C1)C=O,CCCCCCC,,,,,,,,,
Nonane 70% + Heptane,"Nonane : 70, heptane: 30",Other (Paraffinic molecules),5.1,Nonane,0.7,heptane,0.3,,,,,,,,,,,,,,,,,,,,,,,,CCCCCCCCC,CCCCCCC,,,,,,,,,
Decane 70% + Heptane,"Decane : 70, heptane: 30",Other (Paraffinic molecules),4.7,Decane,0.7,heptane,0.3,,,,,,,,,,,,,,,,,,,,,,,,CCCCCCCCCC,CCCCCCC,,,,,,,,,
Dipentyl ether 70% + Heptane,"Dipentyl ether : 70, heptane: 30",Other (Oxygenated + Paraffinic),4.5,Dipentyl ether,0.7,heptane,0.3,,,,,,,,,,,,,,,,,,,,,,,,CCCCCOCCCCC,CCCCCCC,,,,,,,,,
3-heptanone 70% + Heptane,"3-heptanone : 70, heptane: 30",Other (Oxygenated + Paraffinic),6.9,3-heptanone,0.7,heptane,0.3,,,,,,,,,,,,,,,,,,,,,,,,CCCCC(=O)CC,CCCCCCC,,,,,,,,,
5-nonanone 70% + Heptane,"5-nonanone : 70, heptane: 30",Other (Oxygenated + Paraffinic),5.9,5-nonanone,0.7,heptane,0.3,,,,,,,,,,,,,,,,,,,,,,,,CCCCC(=O)CCCC,CCCCCCC,,,,,,,,,
ethyl levulinate 70% + Heptane,"ethyl levulinate : 70, heptane: 30",Other (Oxygenated esters + Paraffinic),8,ethyl levulinate,0.7,heptane,0.3,,,,,,,,,,,,,,,,,,,,,,,,CCOC(=O)CCC(=O)C,CCCCCCC,,,,,,,,,
butyl levulinate 70% + Heptane,"butyl levulinate : 70, heptane: 30",Other (Oxygenated esters + Paraffinic),7.4,butyl levulinate,0.7,heptane,0.3,,,,,,,,,,,,,,,,,,,,,,,,CCCCOC(=O)CCC(=O)C,CCCCCCC,,,,,,,,,
ethyl valerate 70% + Heptane,"ethyl valerate : 70, heptane: 30",Other (Oxygenated esters + Paraffinic),7.8,ethyl valerate,0.7,heptane,0.3,,,,,,,,,,,,,,,,,,,,,,,,CCCCC(=O)OCC,CCCCCCC,,,,,,,,,
butyl valerate 70% + Heptane,"butyl valerate : 70, heptane: 30",Other (Oxygenated esters + Paraffinic),7.2,butyl valerate,0.7,heptane,0.3,,,,,,,,,,,,,,,,,,,,,,,,CCCCC(=O)OCCCC,CCCCCCC,,,,,,,,,
pentyl valerate 70% + Heptane,"pentyl valerate : 70, heptane: 30",Other (Oxygenated esters + Paraffinic),6.6,pentyl valerate,0.7,heptane,0.3,,,,,,,,,,,,,,,,,,,,,,,,CCCCCOC(=O)CCCC,CCCCCCC,,,,,,,,,
Toluene 20% + Hexane 80%,"toluene:20 , hexane:80",Other (Aromatic + Paraffinic),6.7,toluene,0.2,hexane,0.8,,,,,,,,,,,,,,,,,,,,,,,,CC1=CC=CC=C1,CCCCCC,,,,,,,,,
Toluene 20% + Heptane 80%,"toluene : 20, heptane: 80",Other (Aromatic + Paraffinic),6.3,toluene,0.2,heptane,0.8,,,,,,,,,,,,,,,,,,,,,,,,CC1=CC=CC=C1,CCCCCCC,,,,,,,,,
Toluene 20% + Undecane 80%,"toluene 20% , undecane 80%",Other (Aromatic + Paraffinic),5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.97%n-heptane-47.03%iso-octane,"n-heptane: 52.97, iso-octane: 47.03",,,n-heptane,0.5297,iso-octane,0.4703,,,,,,,,,,,,,,,,,,,40.1,39.32675772,,,,CCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
42.88%n-heptane-57.11%iso-octane,"n-heptane: 42.88, iso-octane: 57.11",,,n-heptane,0.4288,iso-octane,0.5711,,,,,,,,,,,,,,,,,,,36.1,35.72286058,,,,CCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
32.55%n-heptane-67.45%iso-octane,"n-heptane: 32.55, iso-octane: 67.45",,,n-heptane,0.3255,iso-octane,0.6745,,,,,,,,,,,,,,,,,,,31.6,32.00704025,,,,CCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
21.97%n-heptane-78.03%iso-octane,"n-heptane: 21.97, iso-octane: 78.03",,,n-heptane,0.2197,iso-octane,0.7803,,,,,,,,,,,,,,,,,,,27.7,27.94932902,,,,CCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
11.12%n-heptane-88.88%iso-octane,"n-heptane: 11.12, iso-octane: 88.88",,,n-heptane,0.1112,iso-octane,0.8888,,,,,,,,,,,,,,,,,,,23.3,22.99955977,,,,CCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,
52.09%n-heptane-47.91%toluene,"n-heptane: 52.09, toluene: 47.91",,,n-heptane,0.5209,toluene,0.4791,,,,,,,,,,,,,,,,,,,36.7,36.77828363,,,,CCCCCCC,CC1=CC=CC=C1,,,,,,,,,
46.97%n-heptane-53.03%toluene,"n-heptane: 46.97, toluene: 53.03",,,n-heptane,0.4697,toluene,0.5303,,,,,,,,,,,,,,,,,,,34.1,34.28264894,,,,CCCCCCC,CC1=CC=CC=C1,,,,,,,,,
42.02%n-heptane-57.98%toluene,"n-heptane: 42.02, toluene: 57.98",,,n-heptane,0.4202,toluene,0.5798,,,,,,,,,,,,,,,,,,,31,31.56442204,,,,CCCCCCC,CC1=CC=CC=C1,,,,,,,,,
37.22%n-heptane-62.78%toluene,"n-heptane: 37.22, toluene: 62.78",,,n-heptane,0.3722,toluene,0.6278,,,,,,,,,,,,,,,,,,,28.3,28.69127198,,,,CCCCCCC,CC1=CC=CC=C1,,,,,,,,,
32.58%n-heptane-67.42%toluene,"n-heptane: 32.58, toluene: 67.42",,,n-heptane,0.3258,toluene,0.6742,,,,,,,,,,,,,,,,,,,25.8,25.89144549,,,,CCCCCCC,CC1=CC=CC=C1,,,,,,,,,
28.07%n-heptane-71.93%toluene,"n-heptane: 28.07, toluene: 71.93",,,n-heptane,0.2807,toluene,0.7193,,,,,,,,,,,,,,,,,,,22.9,23.18904436,,,,CCCCCCC,CC1=CC=CC=C1,,,,,,,,,
23.70%n-heptane-76.30%toluene,"n-heptane: 23.70, toluene: 76.30",,,n-heptane,0.237,toluene,0.763,,,,,,,,,,,,,,,,,,,19.8,21.08870107,,,,CCCCCCC,CC1=CC=CC=C1,,,,,,,,,
36.83%n-heptane-49.05%iso-octane-14.12%toluene,"n-heptane: 36.83, iso-octane: 49.05, toluene: 14.12",,,n-heptane,0.3683,iso-octane,0.4905,toluene,0.1412,,,,,,,,,,,,,,,,,32.2,32.46973789,,,,CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
31.31%n-heptane-41.70%iso-octane-27.00%toluene,"n-heptane: 31.31, iso-octane: 41.70, toluene: 27.00",,,n-heptane,0.3131,iso-octane,0.417,toluene,0.27,,,,,,,,,,,,,,,,,29.1,29.17504297,,,,CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
26.25%n-heptane-34.96%iso-octane-38.80%toluene,"n-heptane: 26.25, iso-octane: 34.96, toluene: 38.80",,,n-heptane,0.2625,iso-octane,0.3496,toluene,0.388,,,,,,,,,,,,,,,,,26.2,26.08904419,,,,CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
21.59%n-heptane-28.76%iso-octane-49.65%toluene,"n-heptane: 21.59, iso-octane: 28.76, toluene: 49.65",,,n-heptane,0.2159,iso-octane,0.2876,toluene,0.4965,,,,,,,,,,,,,,,,,22.7,22.63607789,,,,CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
27.91%n-heptane-57.83%iso-octane-14.26%toluene,"n-heptane: 27.91, iso-octane: 57.83, toluene: 14.26",,,n-heptane,0.2791,iso-octane,0.5783,toluene,0.1426,,,,,,,,,,,,,,,,,28.9,28.88374541,,,,CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
23.69%n-heptane-49.08%iso-octane-27.24%toluene,"n-heptane: 23.69, iso-octane: 49.08, toluene: 27.24",,,n-heptane,0.2369,iso-octane,0.4908,toluene,0.2724,,,,,,,,,,,,,,,,,26.3,26.13580053,,,,CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
19.83%n-heptane-41.08%iso-octane-39.09%toluene,"n-heptane: 19.83, iso-octane: 41.08, toluene: 39.09",,,n-heptane,0.1983,iso-octane,0.4108,toluene,0.3909,,,,,,,,,,,,,,,,,23.7,23.28563751,,,,CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
16.29%n-heptane-33.75%iso-octane-49.95%toluene,"n-heptane: 16.29, iso-octane: 33.75, toluene: 49.95",,,n-heptane,0.1629,iso-octane,0.3375,toluene,0.4995,,,,,,,,,,,,,,,,,19.9,19.87250129,,,,CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
18.80%n-heptane-66.78%iso-octane-14.41%toluene,"n-heptane: 18.80, iso-octane: 66.78, toluene: 14.41",,,n-heptane,0.188,iso-octane,0.6678,toluene,0.1441,,,,,,,,,,,,,,,,,25.4,25.14624332,,,,CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
15.93%n-heptane-56.59%iso-octane-27.48%toluene,"n-heptane: 15.93, iso-octane: 56.59, toluene: 27.48",,,n-heptane,0.1593,iso-octane,0.5659,toluene,0.2748,,,,,,,,,,,,,,,,,22.8,22.577406,,,,CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
13.32%n-heptane-47.30%iso-octane-39.38%toluene,"n-heptane: 13.32, iso-octane: 47.30, toluene: 39.38",,,n-heptane,0.1332,iso-octane,0.473,toluene,0.3938,,,,,,,,,,,,,,,,,19.8,19.73403905,,,,CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
10.93%n-heptane-38.81%iso-octane-50.26%toluene,"n-heptane: 10.93, iso-octane: 38.81, toluene: 50.26",,,n-heptane,0.1093,iso-octane,0.3881,toluene,0.5026,,,,,,,,,,,,,,,,,16.5,16.99062266,,,,CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
9.50%n-heptane-75.93%iso-octane-14.57%toluene,"n-heptane: 9.50, iso-octane: 75.93, toluene: 14.57",,,n-heptane,0.095,iso-octane,0.7593,toluene,0.1457,,,,,,,,,,,,,,,,,21.1,20.96425541,,,,CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
8.04%n-heptane-64.23%iso-octane-27.73%toluene,"n-heptane: 8.04, iso-octane: 64.23, toluene: 27.73",,,n-heptane,0.0804,iso-octane,0.6423,toluene,0.2773,,,,,,,,,,,,,,,,,18.3,18.56293619,,,,CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
6.71%n-heptane-53.62%iso-octane-39.67%toluene,"n-heptane: 6.71, iso-octane: 53.62, toluene: 39.67",,,n-heptane,0.0671,iso-octane,0.5362,toluene,0.3967,,,,,,,,,,,,,,,,,15.6,16.11560545,,,,CCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,
87.21%iso-octane-12.79%1-hexene,"iso-octane: 87.21, 1-hexene: 12.79",,,iso-octane,0.8721,1-hexene,0.1279,,,,,,,,,,,,,,,,,,,21.02,20.96053948,,,,CC(C)CC(C)(C)C,CCCCC=C,,,,,,,,,
75.19%iso-octane-24.81%1-hexene,"iso-octane: 75.19, 1-hexene: 24.81",,,iso-octane,0.7519,1-hexene,0.2481,,,,,,,,,,,,,,,,,,,21.17,21.74729701,,,,CC(C)CC(C)(C)C,CCCCC=C,,,,,,,,,
63.87%iso-octane-36.13%1-hexene,"iso-octane: 63.87, 1-hexene: 36.13",,,iso-octane,0.6387,1-hexene,0.3613,,,,,,,,,,,,,,,,,,,22.9,23.16560535,,,,CC(C)CC(C)(C)C,CCCCC=C,,,,,,,,,
53.19%iso-octane-46.81%1-hexene,"iso-octane: 53.19, 1-hexene: 46.81",,,iso-octane,0.5319,1-hexene,0.4681,,,,,,,,,,,,,,,,,,,24.02,24.23920322,,,,CC(C)CC(C)(C)C,CCCCC=C,,,,,,,,,
43.10%iso-octane-56.90%1-hexene,"iso-octane: 43.10, 1-hexene: 56.90",,,iso-octane,0.431,1-hexene,0.569,,,,,,,,,,,,,,,,,,,24.51,24.84802426,,,,CC(C)CC(C)(C)C,CCCCC=C,,,,,,,,,
33.56%iso-octane-66.44%1-hexene,"iso-octane: 33.56, 1-hexene: 66.44",,,iso-octane,0.3356,1-hexene,0.6644,,,,,,,,,,,,,,,,,,,25.34,25.69863732,,,,CC(C)CC(C)(C)C,CCCCC=C,,,,,,,,,
24.51%iso-octane-75.49%1-hexene,"iso-octane: 24.51, 1-hexene: 75.49",,,iso-octane,0.2451,1-hexene,0.7549,,,,,,,,,,,,,,,,,,,26.5,26.90058056,,,,CC(C)CC(C)(C)C,CCCCC=C,,,,,,,,,
15.92%iso-octane-84.08%1-hexene,"iso-octane: 15.92, 1-hexene: 84.08",,,iso-octane,0.1592,1-hexene,0.8408,,,,,,,,,,,,,,,,,,,27.2,27.88376218,,,,CC(C)CC(C)(C)C,CCCCC=C,,,,,,,,,
7.76%iso-octane-92.24%1-hexene,"iso-octane: 7.76, 1-hexene: 92.24",,,iso-octane,0.0776,1-hexene,0.9224,,,,,,,,,,,,,,,,,,,28.2,28.29177444,,,,CC(C)CC(C)(C)C,CCCCC=C,,,,,,,,,
85.49%iso-octane-14.51%cyclohexane,"iso-octane: 85.49, cyclohexane: 14.51",,,iso-octane,0.8549,cyclohexane,0.1451,,,,,,,,,,,,,,,,,,,18.12,18.58325387,,,,CC(C)CC(C)(C)C,C1CCCCC1,,,,,,,,,
72.37%iso-octane-27.63%cyclohexane,"iso-octane: 72.37, cyclohexane: 27.63",,,iso-octane,0.7237,cyclohexane,0.2763,,,,,,,,,,,,,,,,,,,18.2,18.441822,,,,CC(C)CC(C)(C)C,C1CCCCC1,,,,,,,,,
60.44%iso-octane-39.56%cyclohexane,"iso-octane: 60.44, cyclohexane: 39.56",,,iso-octane,0.6044,cyclohexane,0.3956,,,,,,,,,,,,,,,,,,,18.28,18.48771209,,,,CC(C)CC(C)(C)C,C1CCCCC1,,,,,,,,,
49.55%iso-octane-50.45%cyclohexane,"iso-octane: 49.55, cyclohexane: 50.45",,,iso-octane,0.4955,cyclohexane,0.5045,,,,,,,,,,,,,,,,,,,18.34,18.75203659,,,,CC(C)CC(C)(C)C,C1CCCCC1,,,,,,,,,
39.57%iso-octane-60.43%cyclohexane,"iso-octane: 39.57, cyclohexane: 60.43",,,iso-octane,0.3957,cyclohexane,0.6043,,,,,,,,,,,,,,,,,,,18.43,18.85060185,,,,CC(C)CC(C)(C)C,C1CCCCC1,,,,,,,,,
30.39%iso-octane-69.61%cyclohexane,"iso-octane: 30.39, cyclohexane: 69.61",,,iso-octane,0.3039,cyclohexane,0.6961,,,,,,,,,,,,,,,,,,,18.69,19.1267146,,,,CC(C)CC(C)(C)C,C1CCCCC1,,,,,,,,,
21.91%iso-octane-78.09%cyclohexane,"iso-octane: 21.91, cyclohexane: 78.09",,,iso-octane,0.2191,cyclohexane,0.7809,,,,,,,,,,,,,,,,,,,19.04,19.51488053,,,,CC(C)CC(C)(C)C,C1CCCCC1,,,,,,,,,
14.07%iso-octane-85.93%cyclohexane,"iso-octane: 14.07, cyclohexane: 85.93",,,iso-octane,0.1407,cyclohexane,0.8593,,,,,,,,,,,,,,,,,,,19.45,19.37729316,,,,CC(C)CC(C)(C)C,C1CCCCC1,,,,,,,,,
67.82%iso-octane-93.22%cyclohexane,"iso-octane: 67.82, cyclohexane: 93.22",,,iso-octane,0.6782,cyclohexane,0.9322,,,,,,,,,,,,,,,,,,,19.68,19.06502679,,,,CC(C)CC(C)(C)C,C1CCCCC1,,,,,,,,,
87.99%iso-octane-12.01%tetralin,"iso-octane: 87.99, tetralin: 12.01",,,iso-octane,0.8799,tetralin,0.1201,,,,,,,,,,,,,,,,,,,15.51,15.89000714,,,,CC(C)CC(C)(C)C,C1CCC2=CC=CC=C2C1,,,,,,,,,
76.50%iso-octane-23.50%tetralin,"iso-octane: 76.50, tetralin: 23.50",,,iso-octane,0.765,tetralin,0.235,,,,,,,,,,,,,,,,,,,13.17,13.52680316,,,,CC(C)CC(C)(C)C,C1CCC2=CC=CC=C2C1,,,,,,,,,
65.51%iso-octane-34.49%tetralin,"iso-octane: 65.51, tetralin: 34.49",,,iso-octane,0.6551,tetralin,0.3449,,,,,,,,,,,,,,,,,,,11.74,11.9171722,,,,CC(C)CC(C)(C)C,C1CCC2=CC=CC=C2C1,,,,,,,,,
54.97%iso-octane-45.03%tetralin,"iso-octane: 54.97, tetralin: 45.03",,,iso-octane,0.5497,tetralin,0.4503,,,,,,,,,,,,,,,,,,,10.63,10.72668393,,,,CC(C)CC(C)(C)C,C1CCC2=CC=CC=C2C1,,,,,,,,,
44.87%iso-octane-55.13%tetralin,"iso-octane: 44.87, tetralin: 55.13",,,iso-octane,0.4487,tetralin,0.5513,,,,,,,,,,,,,,,,,,,9.66,9.774182447,,,,CC(C)CC(C)(C)C,C1CCC2=CC=CC=C2C1,,,,,,,,,
35.18%iso-octane-64.82%tetralin,"iso-octane: 35.18, tetralin: 64.82",,,iso-octane,0.3518,tetralin,0.6482,,,,,,,,,,,,,,,,,,,9.22,9.290992335,,,,CC(C)CC(C)(C)C,C1CCC2=CC=CC=C2C1,,,,,,,,,
25.86%iso-octane-74.14%tetralin,"iso-octane: 25.86, tetralin: 74.14",,,iso-octane,0.2586,tetralin,0.7414,,,,,,,,,,,,,,,,,,,9.2,9.168492977,,,,CC(C)CC(C)(C)C,C1CCC2=CC=CC=C2C1,,,,,,,,,
