Name,mixture_components,fuel_type,ignition_delay_CAD,fuel_1,fraction_fuel_1,fuel_2,fraction_fuel_2,fuel_3,fraction_fuel_3,fuel_4,fraction_fuel_4,fuel_5,fraction_fuel_5,fuel_6,fraction_fuel_6,fuel_7,fraction_fuel_7,fuel_8,fraction_fuel_8,fuel_9,fraction_fuel_9,fuel_10,fraction_fuel_10,fuel_11,fraction_fuel_11,CN_Measured,CN_Regression,YSI_Unified_Measured,YSI_Unified_Regression,fuel_type_smiles,fuel_1_smiles,fuel_2_smiles,fuel_3_smiles,fuel_4_smiles,fuel_5_smiles,fuel_6_smiles,fuel_7_smiles,fuel_8_smiles,fuel_9_smiles,fuel_10_smiles,fuel_11_smiles
dimethyl carbonate 29.9% + n-decane,"dimethyl carbonate : 29.9, n-decane: 70.1",Other (Oxygenated + Paraffinic),8.9,dimethyl carbonate,0.299,n-decane,0.701,,,,,,,,,,,,,,,,,,,,,,,,COC(=O)OC,CCCCCCCCCC,,,,,,,,,
dimethyl carbonate 24.6% + n-decane,"dimethyl carbonate : 24.6, n-decane: 75.4",Other (Oxygenated + Paraffinic),10.8,dimethyl carbonate,0.246,n-decane,0.754,,,,,,,,,,,,,,,,,,,,,,,,COC(=O)OC,CCCCCCCCCC,,,,,,,,,
diethyl carbonate 75% + n-decane,"diethyl carbonate : 75, n-decane: 25",Other (Oxygenated + Paraffinic),4.5,diethyl carbonate,0.75,n-decane,0.25,,,,,,,,,,,,,,,,,,,,,,,,CCOC(=O)OCC,CCCCCCCCCC,,,,,,,,,
diethyl carbonate 50% + n-decane,"diethyl carbonate : 50, n-decane: 50",Other (Oxygenated + Paraffinic),5.7,diethyl carbonate,0.5,n-decane,0.5,,,,,,,,,,,,,,,,,,,,,,,,CCOC(=O)OCC,CCCCCCCCCC,,,,,,,,,
diethyl carbonate 30% + n-decane,"diethyl carbonate : 30, n-decane: 70",Other (Oxygenated + Paraffinic),9.9,diethyl carbonate,0.3,n-decane,0.7,,,,,,,,,,,,,,,,,,,,,,,,CCOC(=O)OCC,CCCCCCCCCC,,,,,,,,,
5.0% farnesene + RFD,"farnesene:5, RFD:95",Other (Biogenic Hydrocarbon blends),8.1,farnesene,0.05,toluene,0.285,n-heptane,0.665,,,,,,,,,,,,,,,,,,,,,,CC(=CCCC(=CCC=C(C)C=C)C)C,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
10.1% farnesene + RFD,"farnesene:10.1, RFD:89.9",Other (Biogenic Hydrocarbon blends),8.5,farnesene,0.101,toluene,0.2697,n-heptane,0.6293,,,,,,,,,,,,,,,,,,,,,,CC(=CCCC(=CCC=C(C)C=C)C)C,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
20.3% farnesene + RFD,"farnesene:20.3, RFD:79.7",Other (Biogenic Hydrocarbon blends),8.9,farnesene,0.203,toluene,0.2391,n-heptane,0.5579,,,,,,,,,,,,,,,,,,,,,,CC(=CCCC(=CCC=C(C)C=C)C)C,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
40.0% farnesene + RFD,"farnesene:40, RFD:60",Other (Biogenic Hydrocarbon blends),10.1,farnesene,0.4,toluene,0.18,n-heptane,0.42,,,,,,,,,,,,,,,,,,,,,,CC(=CCCC(=CCC=C(C)C=C)C)C,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
51.2% farnesene + RFD,"farnesene:51.2, RFD:48.8",Other (Biogenic Hydrocarbon blends),11.1,farnesene,0.512,toluene,0.1464,n-heptane,0.3416,,,,,,,,,,,,,,,,,,,,,,CC(=CCCC(=CCC=C(C)C=C)C)C,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
59.9% farnesene + RFD,"farnesene:59.9, RFD:40.1",Other (Biogenic Hydrocarbon blends),DNC,farnesene,0.599,toluene,0.1203,n-heptane,0.2807,,,,,,,,,,,,,,,,,,,,,,CC(=CCCC(=CCC=C(C)C=C)C)C,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
7.8% geranial + RFD,"geranial:7.8, RFD:92.2",Other (Biogenic Hydrocarbon blends),7.5,geranial,0.078,toluene,0.2766,n-heptane,0.6454,,,,,,,,,,,,,,,,,,,,,,CC(=CCCC(=CC=O)C)C,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
10.0% geranial + RFD,"geranial:10, RFD:90",Other (Biogenic Hydrocarbon blends),7.5,geranial,0.1,toluene,0.27,n-heptane,0.63,,,,,,,,,,,,,,,,,,,,,,CC(=CCCC(=CC=O)C)C,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
20.3% geranial + RFD,"geranial:20.3, RFD:79.7",Other (Biogenic Hydrocarbon blends),7.9,geranial,0.203,toluene,0.2391,n-heptane,0.5579,,,,,,,,,,,,,,,,,,,,,,CC(=CCCC(=CC=O)C)C,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
40.0% geranial + RFD,"geranial:40, RFD:60",Other (Biogenic Hydrocarbon blends),8.9,geranial,0.4,toluene,0.18,n-heptane,0.42,,,,,,,,,,,,,,,,,,,,,,CC(=CCCC(=CC=O)C)C,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
50.0% geranial + RFD,"geranial:50, RFD:50",Other (Biogenic Hydrocarbon blends),9.9,geranial,0.5,toluene,0.15,n-heptane,0.35,,,,,,,,,,,,,,,,,,,,,,CC(=CCCC(=CC=O)C)C,CC1=CC=CC=C1,CCCCCCC,,,,,,,,
