Source,Biodiesel,C8:0,C10:0,C12:0,C14:0,C16:0,C16:1,C17:0,C18:0,C18:1,C18:2,C18:3,C20:0,C20:1,C22:0,C22:1,C24:0,C24:1,CN,Total %
Piloto-Rodriguez (2013),Salvadora persica Linn,0,0,19.77800202,54.99495459,19.77800202,0,0,0,5.449041372,0,0,0,0,0,0,0,0,67.5,100
Piloto-Rodriguez (2013),Basella rubra Linn,0,0,0,0.4,19.7,0.4,0,6.5,50.3,21.6,1.1,0,0,0,0,0,0,54,100
Piloto-Rodriguez (2013),Garcinia combogia D.,0,0,0,0,2.3,0,0,38.3,57.9,0.8,0.4,0,0.3,0,0,0,0,61.5,100
Piloto-Rodriguez (2013),Melia azadirach Linn,0,0,0,0.100603622,8.14889336,1.509054326,0,1.207243461,20.92555332,68.10865191,0,0,0,0,0,0,0,41.4,100
Piloto-Rodriguez (2013),Tectona grandis Linn,0,0,0,0.204708291,11.25895599,0,0,10.44012282,30.19447288,47.49232344,0.409416581,0,0,0,0,0,0,48.3,100
Piloto-Rodriguez (2013),Canola,0,0,0,0.103519669,5.383022774,0.207039337,0,2.587991718,60.14492754,29.08902692,0.414078675,0,1.6563147,0,0.414078675,0,0,55,100
Piloto-Rodriguez (2013),Lard,0,0,0.103626943,1.968911917,25.38860104,2.901554404,0,14.92227979,39.68911917,13.88601036,0.310880829,0,0.725388601,0,0.103626943,0,0,63.6,100
Piloto-Rodriguez (2013),Linseed,0,0,0,0,5,0,0,2,20,18,55,0,0,0,0,0,0,52,100
Mishra (2016),almond,0,0,0,0,10.36889332,0.498504487,0,2.891326022,76.86939182,7.577268195,0.797607178,0.299102692,0,0.099700897,0,0.199401795,0.398803589,57,100
Mishra (2016),camelina,0,0,0.391772772,2.64446621,5.97453477,0,0,2.742409403,16.45445642,16.6503428,34.86777669,1.371204701,14.10381978,0.881488737,3.036238981,0.685602351,0.195886386,50.4,100
Mishra (2016),camelina,0,0,0,0,6.418350168,0,0,3.051346801,19.14983165,26.09427609,25.56818182,0,13.46801347,3.514309764,2.735690236,0,0,49,100
Mishra (2016),canola,0,0,0,0,4.460488577,0.356047869,0.13846306,1.978043715,59.66768866,21.00682425,9.385817427,0.613193552,1.473642568,0.34615765,0.41538918,0.158243497,0,54.8,100
Mishra (2016),canola,0,0,0,0,3.96000396,0,0,1.881001881,61.28106128,19.10701911,9.207009207,0,1.188001188,3.375903376,0,0,0,56.2,100
Mishra (2016),canola,0,0.098716683,0,0,4.146100691,0.296150049,0.098716683,1.974333662,59.6248766,20.92793682,9.476801579,0.691016782,1.480750247,0.296150049,0.493583416,0.197433366,0.197433366,53.7,100
Mishra (2016),corn,0,0,0,0,11.74072969,0.119296153,0,2.11750671,27.18958147,57.40133214,0.626304802,0.338005766,0.32806442,0,0,0.139178845,0,52.5,100
Mishra (2016),corn,0,0,0,0,6.513026052,0.601202405,0,1.402805611,65.73146293,25.250501,0.100200401,0.100200401,0.100200401,0,0.100200401,0.100200401,0,53,100
