,fuel1 inchi,fuel2 inchi,fuel3 inchi,fuel4 inchi,molar fraction fuel 1,molar fraction fuel 2,molar fraction fuel 3,Experimental value (from literature),Synthetic value
336,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3",,0.169692878,0.779862424,,25,23.0
337,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3",,0.157840171,0.729833231,,23,21.9
338,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3",,0.141376476,0.650650663,,19,20.2
339,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",,0.312824897,0.640890825,,31.62,28.4
340,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",,0.291520455,0.597243975,,29.14,27.0
341,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",,0.259453304,0.531547339,,25.4,24.9
342,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",,0.231048069,0.47335295,,22.76,23.0
343,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",,0.205711373,0.421445136,,19.82,21.4
344,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",,0.16986469,0.783011917,,25.42,23.1
345,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",,0.158101119,0.728786311,,23.36,22.1
346,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",,0.140449355,0.647418361,,20.55,20.5
347,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",,0.12486788,0.575593657,,17.98,19.1
348,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",,0.111012647,0.51172628,,15.4,17.9
349,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.311669326,0.639454175,0.016597187,32.65,28.3
350,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.292718467,0.59791355,0.054103368,30.14,26.9
351,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.260595304,0.532500261,0.103853151,26.55,24.7
352,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.232909238,0.47821468,0.10378458,23.61,23.0
353,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.208783692,0.426507492,0.144985752,20.93,21.3
354,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.312823687,0.642440134,0.033204379,31.86,28.3
355,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.287020264,0.601288048,0.078836158,30.35,26.6
356,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.252028761,0.540923979,0.146141677,26.39,24.3
357,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3","InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.223924517,0.493454822,0.206224601,24.48,22.5
