fuel1_inchi,fuel2_inchi,fuel3_inchi,frac_fuel1 (molar),frac_fuel2 (molar),DCN,Name,num_components
CCCCCCC,CC1CCCCC1,,0.603,,41.6032,60.3%n-heptane-39.7%methylcyclohexane,2
CCCCCCC,CC1CCCCC1,,0.7969,,47.7271,79.69%n-heptane-20.31%methylcyclohexane,2
CCCCCCC,C1CCCCCCC1,,0.198,,27.5811,19.80%n-heptane-80.20%cyclooctane,2
CCCCCCC,C1CCCCCCC1,,0.3982,,31.7907,39.82%n-heptane-60.18%cyclooctane,2
CCCCCCC,C1CCCCCCC1,,0.5984,,39.4171,59.84%n-heptane-40.16%cyclooctane,2
CCCCCCC,C1CCCCCCC1,,0.7954,,45.9505,79.54%n-heptane-20.46%cyclooctane,2
CCCCCCC,C1CCCCC1,,0.2012,,25.1206,20.12%n-heptane-79.88%cyclohexane,2
CCCCCCC,C1CCCCC1,,0.3983,,30.5606,39.83%n-heptane-60.17%cyclohexane,2
CCCCCCC,C1CCCCC1,,0.5984,,38.3237,59.84%n-heptane-40.16%cyclohexane,2
CCCCCCC,C1CCCCC1,,0.8016,,45.403,80.16%n-heptane-15.43%cyclohexane,2
CCCCCCC,C1CCCC1,,0.1983,,19.3806,19.83%n-heptane-80.17%cyclopentane,2
CCCCCCC,C1CCCC1,,0.3783,,24.2763,37.83%n-heptane-62.17%cyclopentane,2
CCCCCCC,C1CCCC1,,0.5984,,36.6836,59.84%n-heptane-40.16%cyclopentane,2
CCCCCCC,C1CCCC1,,0.7985,,44.8567,79.85%n-heptane-20.15%cyclopentane,2
CCCCCCCCCCCCCCCC,,,,,90.0,"88.19%n-hexadecane-11.81%2,2,4,4,6,8,8-heptamethylnonane",1
CCCCCCCCCCCCCCCC,,,,,80.0,"76.4%n-hexadecane-23.6%2,2,4,4,6,8,8-heptamethylnonane",1
CCCCCCCCCCCCCCCC,,,,,70.0,"64.61%n-hexadecane-35.39%2,2,4,4,6,8,8-heptamethylnonane",1
CCCCCCCCCCCCCCCC,,,,,60.0,"52.84%n-hexadecane-47.16%2,2,4,4,6,8,8-heptamethylnonane",1
CCCCCCCCCCCCCCCC,,,,,50.0,"41.08%n-hexadecane-58.92%2,2,4,4,6,8,8-heptamethylnonane",1
CCCCCCCCCCCCCCCC,,,,,40.0,"29.33%n-hexadecane-70.67%2,2,4,4,6,8,8-heptamethylnonane",1
CCCCCCCCCCCCCCCC,,,,,30.0,"17.59%n-hexadecane-82.41%2,2,4,4,6,8,8-heptamethylnonane",1
CCCCCCCCCCCCCCCC,,,,,20.0,"5.86%n-hexadecane-94.14%2,2,4,4,6,8,8-heptamethylnonane",1
